date,digimind social,government monitoring social media
2011-01-01,37,37
2011-02-01,35,40
2011-03-01,35,35
2011-04-01,36,38
2011-05-01,36,54
2011-06-01,36,37
2011-07-01,34,44
2011-08-01,34,50
2011-09-01,41,57
2011-10-01,49,64
2011-11-01,56,48
2011-12-01,63,31
2012-01-01,30,29
2012-02-01,30,50
2012-03-01,29,29
2012-04-01,29,30
2012-05-01,0,36
2012-06-01,0,43
2012-07-01,0,85
2012-08-01,0,42
2012-09-01,0,28
2012-10-01,0,25
2012-11-01,25,25
2012-12-01,23,25
2013-01-01,23,38
2013-02-01,23,77
2013-03-01,23,23
2013-04-01,23,31
2013-05-01,23,34
2013-06-01,23,100
2013-07-01,23,45
2013-08-01,22,45
2013-09-01,43,22
2013-10-01,63,42
2013-11-01,43,57
2013-12-01,21,71
2014-01-01,20,33
2014-02-01,65,29
2014-03-01,45,20
2014-04-01,40,34
2014-05-01,34,34
2014-06-01,30,30
2014-07-01,44,44
2014-08-01,44,22
2014-09-01,63,35
2014-10-01,27,47
2014-11-01,34,48
2014-12-01,20,20
2015-01-01,51,38
2015-02-01,34,41
2015-03-01,56,56
2015-04-01,44,49
2015-05-01,37,49
2015-06-01,44,38
2015-07-01,69,38
2015-08-01,27,37
2015-09-01,27,18
2015-10-01,63,17
2015-11-01,47,29
2015-12-01,27,30
2016-01-01,51,28
2016-02-01,39,56
2016-03-01,57,21
2016-04-01,60,25
2016-05-01,26,21
2016-06-01,76,33
2016-07-01,44,22
2016-08-01,81,16
2016-09-01,43,32
2016-10-01,56,38
2016-11-01,41,20
2016-12-01,15,31
2017-01-01,48,22
