date,digimind social
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,41
2011-05-01,39
2011-06-01,100
2011-07-01,37
2011-08-01,37
2011-09-01,34
2011-10-01,34
2011-11-01,34
2011-12-01,34
2012-01-01,31
2012-02-01,31
2012-03-01,31
2012-04-01,48
2012-05-01,0
2012-06-01,0
2012-07-01,0
2012-08-01,0
2012-09-01,0
2012-10-01,27
2012-11-01,35
2012-12-01,42
2013-01-01,50
2013-02-01,28
2013-03-01,25
2013-04-01,25
2013-05-01,25
2013-06-01,25
2013-07-01,25
2013-08-01,24
2013-09-01,24
2013-10-01,53
2013-11-01,34
2013-12-01,35
2014-01-01,22
2014-02-01,47
2014-03-01,70
2014-04-01,37
2014-05-01,33
2014-06-01,25
2014-07-01,40
2014-08-01,54
2014-09-01,69
2014-10-01,44
2014-11-01,45
2014-12-01,44
2015-01-01,48
2015-02-01,78
2015-03-01,61
2015-04-01,49
2015-05-01,54
2015-06-01,72
2015-07-01,34
2015-08-01,30
2015-09-01,33
2015-10-01,56
2015-11-01,70
2015-12-01,26
2016-01-01,98
2016-02-01,37
2016-03-01,69
2016-04-01,80
2016-05-01,46
2016-06-01,59
2016-07-01,66
2016-08-01,64
2016-09-01,52
2016-10-01,33
2016-11-01,50
2016-12-01,66
2017-01-01,63
