date,how to go incognito on iphone,how to browse anonymously
2011-01-01,0,32
2011-02-01,0,29
2011-03-01,0,38
2011-04-01,0,20
2011-05-01,0,34
2011-06-01,0,39
2011-07-01,0,38
2011-08-01,0,58
2011-09-01,7,46
2011-10-01,6,34
2011-11-01,6,30
2011-12-01,6,43
2012-01-01,6,77
2012-02-01,6,38
2012-03-01,6,48
2012-04-01,6,59
2012-05-01,6,38
2012-06-01,6,24
2012-07-01,6,78
2012-08-01,12,50
2012-09-01,6,47
2012-10-01,5,67
2012-11-01,5,48
2012-12-01,5,67
2013-01-01,10,56
2013-02-01,5,46
2013-03-01,9,60
2013-04-01,12,78
2013-05-01,14,62
2013-06-01,15,78
2013-07-01,7,67
2013-08-01,12,78
2013-09-01,9,63
2013-10-01,7,51
2013-11-01,8,61
2013-12-01,9,70
2014-01-01,4,48
2014-02-01,5,83
2014-03-01,4,72
2014-04-01,6,68
2014-05-01,9,45
2014-06-01,19,77
2014-07-01,12,91
2014-08-01,19,93
2014-09-01,9,76
2014-10-01,9,70
2014-11-01,9,76
2014-12-01,11,79
2015-01-01,8,71
2015-02-01,15,60
2015-03-01,12,62
2015-04-01,4,68
2015-05-01,10,51
2015-06-01,20,46
2015-07-01,16,74
2015-08-01,24,100
2015-09-01,27,73
2015-10-01,40,55
2015-11-01,22,43
2015-12-01,32,46
2016-01-01,30,57
2016-02-01,20,73
2016-03-01,30,48
2016-04-01,31,50
2016-05-01,22,49
2016-06-01,22,47
2016-07-01,19,70
2016-08-01,31,48
2016-09-01,32,44
2016-10-01,40,61
2016-11-01,27,70
2016-12-01,18,59
2017-01-01,38,64
