date,incognito safari
2011-01-01,12
2011-02-01,7
2011-03-01,12
2011-04-01,11
2011-05-01,10
2011-06-01,13
2011-07-01,25
2011-08-01,17
2011-09-01,18
2011-10-01,19
2011-11-01,19
2011-12-01,21
2012-01-01,21
2012-02-01,21
2012-03-01,20
2012-04-01,24
2012-05-01,23
2012-06-01,28
2012-07-01,34
2012-08-01,37
2012-09-01,42
2012-10-01,38
2012-11-01,37
2012-12-01,49
2013-01-01,40
2013-02-01,36
2013-03-01,45
2013-04-01,54
2013-05-01,54
2013-06-01,65
2013-07-01,71
2013-08-01,67
2013-09-01,74
2013-10-01,67
2013-11-01,70
2013-12-01,70
2014-01-01,63
2014-02-01,68
2014-03-01,70
2014-04-01,66
2014-05-01,64
2014-06-01,74
2014-07-01,91
2014-08-01,95
2014-09-01,100
2014-10-01,99
2014-11-01,94
2014-12-01,92
2015-01-01,79
2015-02-01,75
2015-03-01,74
2015-04-01,88
2015-05-01,70
2015-06-01,74
2015-07-01,80
2015-08-01,83
2015-09-01,76
2015-10-01,73
2015-11-01,64
2015-12-01,73
2016-01-01,69
2016-02-01,67
2016-03-01,67
2016-04-01,71
2016-05-01,71
2016-06-01,72
2016-07-01,70
2016-08-01,71
2016-09-01,76
2016-10-01,73
2016-11-01,72
2016-12-01,67
2017-01-01,71
