date,how to search in private mode,most private browser
2011-01-01,0,34
2011-02-01,0,50
2011-03-01,19,38
2011-04-01,21,31
2011-05-01,0,98
2011-06-01,0,47
2011-07-01,0,20
2011-08-01,18,31
2011-09-01,0,66
2011-10-01,0,34
2011-11-01,0,17
2011-12-01,0,60
2012-01-01,16,52
2012-02-01,0,65
2012-03-01,15,72
2012-04-01,0,97
2012-05-01,0,35
2012-06-01,0,31
2012-07-01,15,31
2012-08-01,0,41
2012-09-01,30,30
2012-10-01,14,50
2012-11-01,27,0
2012-12-01,14,60
2013-01-01,13,42
2013-02-01,14,46
2013-03-01,0,49
2013-04-01,0,58
2013-05-01,12,40
2013-06-01,12,46
2013-07-01,0,53
2013-08-01,0,73
2013-09-01,12,48
2013-10-01,0,57
2013-11-01,11,42
2013-12-01,12,73
2014-01-01,11,40
2014-02-01,12,27
2014-03-01,11,63
2014-04-01,22,48
2014-05-01,11,67
2014-06-01,18,65
2014-07-01,18,56
2014-08-01,18,40
2014-09-01,23,95
2014-10-01,11,69
2014-11-01,33,41
2014-12-01,33,84
2015-01-01,10,58
2015-02-01,17,30
2015-03-01,14,54
2015-04-01,10,66
2015-05-01,20,57
2015-06-01,21,45
2015-07-01,15,54
2015-08-01,30,100
2015-09-01,13,49
2015-10-01,15,68
2015-11-01,22,70
2015-12-01,26,78
2016-01-01,40,92
2016-02-01,55,52
2016-03-01,46,83
2016-04-01,47,68
2016-05-01,29,57
2016-06-01,44,56
2016-07-01,41,62
2016-08-01,49,58
2016-09-01,26,87
2016-10-01,30,77
2016-11-01,19,69
2016-12-01,39,58
2017-01-01,42,76
