date,how to hide tagged photos on facebook,how to change facebook privacy settings
2011-01-01,17,19
2011-02-01,10,11
2011-03-01,11,20
2011-04-01,10,13
2011-05-01,13,15
2011-06-01,19,20
2011-07-01,21,19
2011-08-01,19,26
2011-09-01,85,55
2011-10-01,93,50
2011-11-01,100,44
2011-12-01,90,38
2012-01-01,79,35
2012-02-01,83,47
2012-03-01,72,38
2012-04-01,66,47
2012-05-01,54,44
2012-06-01,58,40
2012-07-01,68,37
2012-08-01,70,68
2012-09-01,58,91
2012-10-01,33,82
2012-11-01,37,60
2012-12-01,33,59
2013-01-01,35,49
2013-02-01,30,45
2013-03-01,30,45
2013-04-01,34,38
2013-05-01,38,40
2013-06-01,30,45
2013-07-01,36,46
2013-08-01,32,41
2013-09-01,33,43
2013-10-01,30,43
2013-11-01,34,35
2013-12-01,22,36
2014-01-01,23,37
2014-02-01,30,26
2014-03-01,21,30
2014-04-01,23,35
2014-05-01,15,33
2014-06-01,20,34
2014-07-01,20,29
2014-08-01,17,43
2014-09-01,17,29
2014-10-01,17,33
2014-11-01,16,25
2014-12-01,16,25
2015-01-01,15,31
2015-02-01,11,26
2015-03-01,11,27
2015-04-01,15,29
2015-05-01,15,30
2015-06-01,12,31
2015-07-01,14,31
2015-08-01,14,33
2015-09-01,13,27
2015-10-01,13,22
2015-11-01,10,28
2015-12-01,15,29
2016-01-01,12,30
2016-02-01,13,26
2016-03-01,12,25
2016-04-01,12,23
2016-05-01,9,24
2016-06-01,13,27
2016-07-01,14,32
2016-08-01,16,30
2016-09-01,14,26
2016-10-01,16,25
2016-11-01,16,24
2016-12-01,14,23
2017-01-01,11,26
