date,how to privacy on facebook,how to change facebook privacy settings
2011-01-01,37,7
2011-02-01,32,4
2011-03-01,33,7
2011-04-01,39,4
2011-05-01,28,5
2011-06-01,34,7
2011-07-01,33,6
2011-08-01,48,9
2011-09-01,93,19
2011-10-01,84,17
2011-11-01,68,15
2011-12-01,70,13
2012-01-01,60,12
2012-02-01,57,16
2012-03-01,51,13
2012-04-01,59,16
2012-05-01,59,15
2012-06-01,52,14
2012-07-01,57,13
2012-08-01,80,23
2012-09-01,100,31
2012-10-01,95,28
2012-11-01,74,21
2012-12-01,75,20
2013-01-01,63,17
2013-02-01,58,16
2013-03-01,60,16
2013-04-01,54,13
2013-05-01,56,14
2013-06-01,57,16
2013-07-01,58,16
2013-08-01,61,14
2013-09-01,59,15
2013-10-01,59,15
2013-11-01,49,12
2013-12-01,48,12
2014-01-01,55,13
2014-02-01,52,9
2014-03-01,54,10
2014-04-01,51,12
2014-05-01,52,11
2014-06-01,52,12
2014-07-01,55,10
2014-08-01,55,15
2014-09-01,55,10
2014-10-01,51,11
2014-11-01,48,9
2014-12-01,48,8
2015-01-01,55,11
2015-02-01,48,9
2015-03-01,45,9
2015-04-01,48,10
2015-05-01,47,10
2015-06-01,47,11
2015-07-01,50,11
2015-08-01,46,11
2015-09-01,50,9
2015-10-01,45,8
2015-11-01,44,10
2015-12-01,50,10
2016-01-01,48,10
2016-02-01,43,9
2016-03-01,45,8
2016-04-01,42,8
2016-05-01,42,8
2016-06-01,51,9
2016-07-01,48,11
2016-08-01,46,10
2016-09-01,48,9
2016-10-01,48,9
2016-11-01,43,8
2016-12-01,43,8
2017-01-01,48,9
