date,internet privacy issues,how to change facebook privacy settings
2011-01-01,23,21
2011-02-01,36,12
2011-03-01,31,22
2011-04-01,28,14
2011-05-01,22,17
2011-06-01,27,22
2011-07-01,17,20
2011-08-01,14,29
2011-09-01,21,60
2011-10-01,27,55
2011-11-01,31,48
2011-12-01,21,42
2012-01-01,14,39
2012-02-01,36,51
2012-03-01,27,41
2012-04-01,27,51
2012-05-01,26,48
2012-06-01,19,44
2012-07-01,12,41
2012-08-01,20,75
2012-09-01,24,100
2012-10-01,21,90
2012-11-01,29,66
2012-12-01,16,64
2013-01-01,13,54
2013-02-01,33,50
2013-03-01,27,49
2013-04-01,23,42
2013-05-01,21,44
2013-06-01,15,50
2013-07-01,11,51
2013-08-01,12,45
2013-09-01,22,47
2013-10-01,27,48
2013-11-01,25,38
2013-12-01,20,39
2014-01-01,17,40
2014-02-01,22,28
2014-03-01,22,33
2014-04-01,15,38
2014-05-01,25,36
2014-06-01,10,37
2014-07-01,14,32
2014-08-01,13,47
2014-09-01,19,32
2014-10-01,24,36
2014-11-01,19,28
2014-12-01,11,27
2015-01-01,15,34
2015-02-01,21,29
2015-03-01,19,29
2015-04-01,18,32
2015-05-01,15,33
2015-06-01,10,34
2015-07-01,8,34
2015-08-01,14,36
2015-09-01,15,29
2015-10-01,19,24
2015-11-01,22,31
2015-12-01,13,32
2016-01-01,14,33
2016-02-01,16,29
2016-03-01,15,27
2016-04-01,18,25
2016-05-01,12,26
2016-06-01,10,30
2016-07-01,8,35
2016-08-01,8,33
2016-09-01,15,28
2016-10-01,20,28
2016-11-01,17,26
2016-12-01,11,25
2017-01-01,10,29
