date,personal privacy rights,how to change facebook privacy settings
2011-01-01,13,21
2011-02-01,19,14
2011-03-01,12,24
2011-04-01,20,13
2011-05-01,17,18
2011-06-01,9,20
2011-07-01,18,20
2011-08-01,13,24
2011-09-01,14,66
2011-10-01,19,62
2011-11-01,11,50
2011-12-01,9,44
2012-01-01,6,38
2012-02-01,12,55
2012-03-01,16,47
2012-04-01,14,59
2012-05-01,25,46
2012-06-01,23,42
2012-07-01,15,52
2012-08-01,17,75
2012-09-01,23,100
2012-10-01,26,88
2012-11-01,22,72
2012-12-01,13,70
2013-01-01,10,50
2013-02-01,15,53
2013-03-01,18,51
2013-04-01,17,45
2013-05-01,17,43
2013-06-01,22,53
2013-07-01,16,54
2013-08-01,15,44
2013-09-01,13,49
2013-10-01,17,44
2013-11-01,19,41
2013-12-01,9,44
2014-01-01,11,36
2014-02-01,13,28
2014-03-01,20,33
2014-04-01,18,42
2014-05-01,18,38
2014-06-01,14,40
2014-07-01,16,35
2014-08-01,15,49
2014-09-01,14,32
2014-10-01,16,40
2014-11-01,10,30
2014-12-01,11,30
2015-01-01,10,34
2015-02-01,13,28
2015-03-01,12,28
2015-04-01,13,33
2015-05-01,12,35
2015-06-01,8,36
2015-07-01,11,33
2015-08-01,9,37
2015-09-01,14,30
2015-10-01,13,28
2015-11-01,11,35
2015-12-01,8,31
2016-01-01,13,37
2016-02-01,14,31
2016-03-01,18,26
2016-04-01,12,25
2016-05-01,11,27
2016-06-01,9,30
2016-07-01,9,37
2016-08-01,10,36
2016-09-01,9,31
2016-10-01,11,26
2016-11-01,15,29
2016-12-01,8,30
2017-01-01,11,33
