date,privacy on facebook,how to change facebook privacy settings
2011-01-01,49,4
2011-02-01,46,3
2011-03-01,45,3
2011-04-01,47,2
2011-05-01,45,2
2011-06-01,48,3
2011-07-01,47,3
2011-08-01,56,4
2011-09-01,100,11
2011-10-01,83,10
2011-11-01,81,9
2011-12-01,75,8
2012-01-01,69,6
2012-02-01,74,8
2012-03-01,62,8
2012-04-01,63,7
2012-05-01,63,7
2012-06-01,88,7
2012-07-01,60,7
2012-08-01,77,10
2012-09-01,96,17
2012-10-01,98,15
2012-11-01,82,12
2012-12-01,80,11
2013-01-01,78,10
2013-02-01,68,10
2013-03-01,72,9
2013-04-01,62,7
2013-05-01,65,7
2013-06-01,60,8
2013-07-01,74,9
2013-08-01,63,9
2013-09-01,66,8
2013-10-01,76,7
2013-11-01,55,6
2013-12-01,51,6
2014-01-01,55,8
2014-02-01,58,5
2014-03-01,50,5
2014-04-01,58,7
2014-05-01,52,6
2014-06-01,52,7
2014-07-01,54,5
2014-08-01,61,8
2014-09-01,57,6
2014-10-01,55,5
2014-11-01,49,5
2014-12-01,49,5
2015-01-01,70,5
2015-02-01,49,5
2015-03-01,48,7
2015-04-01,46,4
2015-05-01,47,5
2015-06-01,45,4
2015-07-01,50,6
2015-08-01,47,5
2015-09-01,72,5
2015-10-01,47,5
2015-11-01,44,6
2015-12-01,44,5
2016-01-01,45,6
2016-02-01,46,5
2016-03-01,43,4
2016-04-01,43,4
2016-05-01,44,5
2016-06-01,52,5
2016-07-01,51,5
2016-08-01,44,4
2016-09-01,48,5
2016-10-01,55,5
2016-11-01,44,5
2016-12-01,41,4
2017-01-01,47,4
