date,facebook login mobile
2011-01-01,59
2011-02-01,55
2011-03-01,47
2011-04-01,52
2011-05-01,51
2011-06-01,60
2011-07-01,70
2011-08-01,72
2011-09-01,68
2011-10-01,50
2011-11-01,36
2011-12-01,37
2012-01-01,55
2012-02-01,72
2012-03-01,53
2012-04-01,38
2012-05-01,43
2012-06-01,78
2012-07-01,90
2012-08-01,94
2012-09-01,91
2012-10-01,100
2012-11-01,89
2012-12-01,71
2013-01-01,63
2013-02-01,81
2013-03-01,97
2013-04-01,88
2013-05-01,69
2013-06-01,69
2013-07-01,67
2013-08-01,85
2013-09-01,77
2013-10-01,78
2013-11-01,83
2013-12-01,76
2014-01-01,72
2014-02-01,78
2014-03-01,72
2014-04-01,76
2014-05-01,76
2014-06-01,88
2014-07-01,71
2014-08-01,68
2014-09-01,63
2014-10-01,59
2014-11-01,55
2014-12-01,52
2015-01-01,54
2015-02-01,57
2015-03-01,63
2015-04-01,64
2015-05-01,63
2015-06-01,61
2015-07-01,61
2015-08-01,63
2015-09-01,80
2015-10-01,81
2015-11-01,84
2015-12-01,87
2016-01-01,78
2016-02-01,69
2016-03-01,61
2016-04-01,57
2016-05-01,59
2016-06-01,62
2016-07-01,66
2016-08-01,64
2016-09-01,64
2016-10-01,61
2016-11-01,52
2016-12-01,49
2017-01-01,46
