date,what is computer privacy
2011-01-01,67
2011-02-01,75
2011-03-01,76
2011-04-01,38
2011-05-01,52
2011-06-01,44
2011-07-01,36
2011-08-01,36
2011-09-01,81
2011-10-01,47
2011-11-01,87
2011-12-01,48
2012-01-01,63
2012-02-01,68
2012-03-01,74
2012-04-01,60
2012-05-01,77
2012-06-01,78
2012-07-01,52
2012-08-01,60
2012-09-01,92
2012-10-01,84
2012-11-01,81
2012-12-01,63
2013-01-01,65
2013-02-01,73
2013-03-01,100
2013-04-01,91
2013-05-01,73
2013-06-01,69
2013-07-01,70
2013-08-01,79
2013-09-01,97
2013-10-01,86
2013-11-01,95
2013-12-01,59
2014-01-01,71
2014-02-01,63
2014-03-01,77
2014-04-01,85
2014-05-01,84
2014-06-01,63
2014-07-01,81
2014-08-01,73
2014-09-01,94
2014-10-01,98
2014-11-01,59
2014-12-01,39
2015-01-01,46
2015-02-01,59
2015-03-01,41
2015-04-01,64
2015-05-01,47
2015-06-01,52
2015-07-01,29
2015-08-01,46
2015-09-01,68
2015-10-01,58
2015-11-01,56
2015-12-01,50
2016-01-01,36
2016-02-01,54
2016-03-01,57
2016-04-01,51
2016-05-01,53
2016-06-01,43
2016-07-01,38
2016-08-01,36
2016-09-01,50
2016-10-01,55
2016-11-01,58
2016-12-01,44
2017-01-01,51
