date,how to change privacy settings on Instagram,how to change instagram privacy settings
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,8
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,0
2011-11-01,0,0
2011-12-01,0,0
2012-01-01,0,7
2012-02-01,0,0
2012-03-01,6,0
2012-04-01,13,13
2012-05-01,12,12
2012-06-01,19,13
2012-07-01,10,13
2012-08-01,15,15
2012-09-01,100,98
2012-10-01,67,97
2012-11-01,59,63
2012-12-01,52,71
2013-01-01,48,62
2013-02-01,33,35
2013-03-01,46,60
2013-04-01,26,31
2013-05-01,40,37
2013-06-01,35,26
2013-07-01,46,53
2013-08-01,32,44
2013-09-01,28,45
2013-10-01,25,24
2013-11-01,19,26
2013-12-01,47,35
2014-01-01,33,33
2014-02-01,28,33
2014-03-01,28,26
2014-04-01,30,37
2014-05-01,17,34
2014-06-01,24,34
2014-07-01,32,45
2014-08-01,18,25
2014-09-01,22,21
2014-10-01,23,47
2014-11-01,39,40
2014-12-01,23,29
2015-01-01,24,32
2015-02-01,12,20
2015-03-01,13,20
2015-04-01,19,17
2015-05-01,15,11
2015-06-01,11,10
2015-07-01,18,18
2015-08-01,8,13
2015-09-01,10,14
2015-10-01,13,12
2015-11-01,10,15
2015-12-01,8,16
2016-01-01,17,19
2016-02-01,5,15
2016-03-01,9,7
2016-04-01,10,15
2016-05-01,10,13
2016-06-01,14,12
2016-07-01,14,22
2016-08-01,25,22
2016-09-01,10,16
2016-10-01,16,16
2016-11-01,10,12
2016-12-01,16,13
2017-01-01,9,19
