date,Instagram setting
2011-01-01,2
2011-02-01,2
2011-03-01,2
2011-04-01,3
2011-05-01,3
2011-06-01,4
2011-07-01,2
2011-08-01,4
2011-09-01,6
2011-10-01,4
2011-11-01,4
2011-12-01,5
2012-01-01,6
2012-02-01,8
2012-03-01,8
2012-04-01,22
2012-05-01,18
2012-06-01,22
2012-07-01,20
2012-08-01,21
2012-09-01,44
2012-10-01,39
2012-11-01,38
2012-12-01,38
2013-01-01,37
2013-02-01,43
2013-03-01,43
2013-04-01,37
2013-05-01,32
2013-06-01,37
2013-07-01,38
2013-08-01,43
2013-09-01,48
2013-10-01,45
2013-11-01,40
2013-12-01,47
2014-01-01,49
2014-02-01,47
2014-03-01,48
2014-04-01,56
2014-05-01,50
2014-06-01,49
2014-07-01,57
2014-08-01,60
2014-09-01,56
2014-10-01,51
2014-11-01,59
2014-12-01,57
2015-01-01,59
2015-02-01,63
2015-03-01,57
2015-04-01,57
2015-05-01,60
2015-06-01,62
2015-07-01,75
2015-08-01,70
2015-09-01,61
2015-10-01,68
2015-11-01,63
2015-12-01,75
2016-01-01,70
2016-02-01,72
2016-03-01,77
2016-04-01,74
2016-05-01,75
2016-06-01,78
2016-07-01,85
2016-08-01,91
2016-09-01,90
2016-10-01,100
2016-11-01,97
2016-12-01,94
2017-01-01,97
