date,youtube share button,youtube private channel
2011-01-01,12,42
2011-02-01,12,35
2011-03-01,11,27
2011-04-01,10,41
2011-05-01,20,32
2011-06-01,16,43
2011-07-01,17,42
2011-08-01,11,50
2011-09-01,11,58
2011-10-01,15,50
2011-11-01,18,54
2011-12-01,15,75
2012-01-01,21,67
2012-02-01,24,63
2012-03-01,20,73
2012-04-01,21,60
2012-05-01,15,64
2012-06-01,19,62
2012-07-01,16,61
2012-08-01,18,71
2012-09-01,18,73
2012-10-01,15,61
2012-11-01,19,63
2012-12-01,13,68
2013-01-01,19,82
2013-02-01,19,77
2013-03-01,18,79
2013-04-01,15,76
2013-05-01,15,64
2013-06-01,16,67
2013-07-01,25,81
2013-08-01,20,100
2013-09-01,23,82
2013-10-01,24,72
2013-11-01,32,65
2013-12-01,24,85
2014-01-01,26,76
2014-02-01,23,80
2014-03-01,20,74
2014-04-01,19,70
2014-05-01,16,60
2014-06-01,15,59
2014-07-01,22,64
2014-08-01,18,66
2014-09-01,23,59
2014-10-01,21,58
2014-11-01,18,67
2014-12-01,16,69
2015-01-01,16,63
2015-02-01,16,70
2015-03-01,17,73
2015-04-01,21,64
2015-05-01,14,76
2015-06-01,13,61
2015-07-01,19,63
2015-08-01,17,69
2015-09-01,15,55
2015-10-01,17,59
2015-11-01,20,61
2015-12-01,14,63
2016-01-01,13,74
2016-02-01,15,51
2016-03-01,15,69
2016-04-01,18,64
2016-05-01,15,60
2016-06-01,31,58
2016-07-01,16,58
2016-08-01,20,63
2016-09-01,15,52
2016-10-01,13,63
2016-11-01,18,59
2016-12-01,18,61
2017-01-01,20,77
