date,delete my account,how to delete a facebook account
2011-01-01,49,13
2011-02-01,47,11
2011-03-01,42,10
2011-04-01,45,9
2011-05-01,47,10
2011-06-01,54,11
2011-07-01,55,13
2011-08-01,61,15
2011-09-01,58,14
2011-10-01,59,15
2011-11-01,62,18
2011-12-01,65,16
2012-01-01,69,17
2012-02-01,63,17
2012-03-01,61,16
2012-04-01,61,11
2012-05-01,61,11
2012-06-01,64,13
2012-07-01,69,16
2012-08-01,70,15
2012-09-01,66,13
2012-10-01,64,10
2012-11-01,62,13
2012-12-01,70,14
2013-01-01,72,12
2013-02-01,73,11
2013-03-01,71,12
2013-04-01,67,13
2013-05-01,67,10
2013-06-01,73,11
2013-07-01,79,13
2013-08-01,80,12
2013-09-01,74,9
2013-10-01,70,9
2013-11-01,72,11
2013-12-01,78,12
2014-01-01,83,11
2014-02-01,78,9
2014-03-01,79,9
2014-04-01,77,10
2014-05-01,76,11
2014-06-01,80,10
2014-07-01,82,10
2014-08-01,86,11
2014-09-01,81,10
2014-10-01,75,9
2014-11-01,74,9
2014-12-01,79,10
2015-01-01,82,10
2015-02-01,77,10
2015-03-01,73,10
2015-04-01,74,12
2015-05-01,72,9
2015-06-01,80,9
2015-07-01,85,11
2015-08-01,90,13
2015-09-01,82,10
2015-10-01,77,8
2015-11-01,73,8
2015-12-01,79,9
2016-01-01,84,11
2016-02-01,78,10
2016-03-01,76,8
2016-04-01,77,9
2016-05-01,79,9
2016-06-01,91,12
2016-07-01,97,12
2016-08-01,90,10
2016-09-01,89,10
2016-10-01,88,10
2016-11-01,91,12
2016-12-01,95,10
2017-01-01,100,11
