date,how can i delete facebook,how to delete a facebook account
2011-01-01,43,80
2011-02-01,41,65
2011-03-01,38,57
2011-04-01,44,56
2011-05-01,47,57
2011-06-01,48,61
2011-07-01,51,74
2011-08-01,62,83
2011-09-01,59,81
2011-10-01,63,91
2011-11-01,69,100
2011-12-01,72,94
2012-01-01,77,99
2012-02-01,79,96
2012-03-01,70,97
2012-04-01,63,64
2012-05-01,63,67
2012-06-01,65,73
2012-07-01,63,96
2012-08-01,68,88
2012-09-01,72,70
2012-10-01,58,56
2012-11-01,54,82
2012-12-01,62,84
2013-01-01,64,77
2013-02-01,61,64
2013-03-01,54,73
2013-04-01,50,75
2013-05-01,47,56
2013-06-01,51,58
2013-07-01,50,71
2013-08-01,55,72
2013-09-01,47,51
2013-10-01,48,54
2013-11-01,48,61
2013-12-01,45,77
2014-01-01,50,66
2014-02-01,47,51
2014-03-01,50,49
2014-04-01,47,63
2014-05-01,47,64
2014-06-01,49,60
2014-07-01,50,56
2014-08-01,49,60
2014-09-01,48,63
2014-10-01,47,55
2014-11-01,44,58
2014-12-01,43,57
2015-01-01,49,61
2015-02-01,43,59
2015-03-01,45,60
2015-04-01,44,69
2015-05-01,36,54
2015-06-01,47,54
2015-07-01,46,69
2015-08-01,47,73
2015-09-01,47,61
2015-10-01,41,48
2015-11-01,40,46
2015-12-01,39,52
2016-01-01,46,65
2016-02-01,43,63
2016-03-01,46,53
2016-04-01,41,48
2016-05-01,45,52
2016-06-01,47,78
2016-07-01,51,75
2016-08-01,53,57
2016-09-01,48,59
2016-10-01,48,59
2016-11-01,47,71
2016-12-01,42,63
2017-01-01,53,65
