date,how to deactivate fb account temporarily
2011-01-01,0
2011-02-01,37
2011-03-01,34
2011-04-01,36
2011-05-01,33
2011-06-01,52
2011-07-01,69
2011-08-01,65
2011-09-01,78
2011-10-01,59
2011-11-01,30
2011-12-01,29
2012-01-01,54
2012-02-01,28
2012-03-01,26
2012-04-01,28
2012-05-01,26
2012-06-01,45
2012-07-01,71
2012-08-01,61
2012-09-01,86
2012-10-01,55
2012-11-01,32
2012-12-01,63
2013-01-01,43
2013-02-01,40
2013-03-01,70
2013-04-01,32
2013-05-01,63
2013-06-01,72
2013-07-01,63
2013-08-01,70
2013-09-01,41
2013-10-01,88
2013-11-01,53
2013-12-01,53
2014-01-01,65
2014-02-01,34
2014-03-01,45
2014-04-01,56
2014-05-01,51
2014-06-01,49
2014-07-01,69
2014-08-01,62
2014-09-01,40
2014-10-01,28
2014-11-01,58
2014-12-01,25
2015-01-01,27
2015-02-01,32
2015-03-01,35
2015-04-01,48
2015-05-01,81
2015-06-01,65
2015-07-01,35
2015-08-01,35
2015-09-01,60
2015-10-01,48
2015-11-01,44
2015-12-01,67
2016-01-01,69
2016-02-01,47
2016-03-01,49
2016-04-01,86
2016-05-01,99
2016-06-01,61
2016-07-01,52
2016-08-01,50
2016-09-01,95
2016-10-01,100
2016-11-01,58
2016-12-01,81
2017-01-01,86
