date,How do I delete my google account,how to delete a google account
2011-01-01,13,29
2011-02-01,14,29
2011-03-01,10,29
2011-04-01,14,30
2011-05-01,14,39
2011-06-01,20,50
2011-07-01,22,56
2011-08-01,20,48
2011-09-01,22,57
2011-10-01,27,53
2011-11-01,22,53
2011-12-01,26,54
2012-01-01,29,55
2012-02-01,21,46
2012-03-01,24,40
2012-04-01,18,47
2012-05-01,17,44
2012-06-01,16,48
2012-07-01,20,56
2012-08-01,22,67
2012-09-01,22,55
2012-10-01,18,44
2012-11-01,21,47
2012-12-01,23,50
2013-01-01,22,62
2013-02-01,27,57
2013-03-01,30,53
2013-04-01,26,54
2013-05-01,28,65
2013-06-01,21,69
2013-07-01,25,80
2013-08-01,28,84
2013-09-01,27,72
2013-10-01,30,75
2013-11-01,26,69
2013-12-01,34,88
2014-01-01,37,92
2014-02-01,28,86
2014-03-01,31,83
2014-04-01,28,78
2014-05-01,24,80
2014-06-01,22,77
2014-07-01,26,96
2014-08-01,26,94
2014-09-01,29,80
2014-10-01,24,81
2014-11-01,22,78
2014-12-01,24,77
2015-01-01,26,77
2015-02-01,21,78
2015-03-01,20,70
2015-04-01,23,71
2015-05-01,22,74
2015-06-01,23,84
2015-07-01,24,83
2015-08-01,24,87
2015-09-01,24,76
2015-10-01,19,77
2015-11-01,23,73
2015-12-01,22,75
2016-01-01,26,93
2016-02-01,24,79
2016-03-01,20,72
2016-04-01,20,75
2016-05-01,19,73
2016-06-01,21,77
2016-07-01,26,100
2016-08-01,26,95
2016-09-01,24,86
2016-10-01,24,87
2016-11-01,24,81
2016-12-01,26,92
2017-01-01,26,96
