date,google faqs,how to delete a google account
2011-01-01,13,30
2011-02-01,13,29
2011-03-01,14,28
2011-04-01,14,29
2011-05-01,21,38
2011-06-01,17,48
2011-07-01,13,56
2011-08-01,14,44
2011-09-01,14,53
2011-10-01,13,54
2011-11-01,13,53
2011-12-01,11,49
2012-01-01,11,47
2012-02-01,10,43
2012-03-01,7,38
2012-04-01,8,44
2012-05-01,13,44
2012-06-01,14,47
2012-07-01,8,50
2012-08-01,7,68
2012-09-01,12,53
2012-10-01,9,43
2012-11-01,10,46
2012-12-01,11,50
2013-01-01,10,58
2013-02-01,8,59
2013-03-01,11,46
2013-04-01,10,53
2013-05-01,10,65
2013-06-01,10,69
2013-07-01,11,76
2013-08-01,11,83
2013-09-01,8,71
2013-10-01,12,76
2013-11-01,10,63
2013-12-01,11,83
2014-01-01,9,93
2014-02-01,10,89
2014-03-01,10,81
2014-04-01,10,70
2014-05-01,9,80
2014-06-01,11,72
2014-07-01,9,100
2014-08-01,7,91
2014-09-01,10,79
2014-10-01,10,77
2014-11-01,8,80
2014-12-01,9,71
2015-01-01,10,77
2015-02-01,9,75
2015-03-01,7,67
2015-04-01,6,68
2015-05-01,8,72
2015-06-01,8,83
2015-07-01,10,82
2015-08-01,12,84
2015-09-01,10,75
2015-10-01,9,74
2015-11-01,6,69
2015-12-01,8,72
2016-01-01,6,90
2016-02-01,8,79
2016-03-01,10,68
2016-04-01,8,75
2016-05-01,6,74
2016-06-01,6,75
2016-07-01,9,97
2016-08-01,7,93
2016-09-01,10,84
2016-10-01,8,83
2016-11-01,8,82
2016-12-01,9,92
2017-01-01,8,93
