date,how to delete my account,how to delete a google account
2011-01-01,41,4
2011-02-01,40,4
2011-03-01,35,4
2011-04-01,35,4
2011-05-01,40,6
2011-06-01,46,7
2011-07-01,48,8
2011-08-01,48,7
2011-09-01,52,8
2011-10-01,50,8
2011-11-01,52,8
2011-12-01,54,8
2012-01-01,55,8
2012-02-01,52,7
2012-03-01,51,6
2012-04-01,53,7
2012-05-01,52,6
2012-06-01,59,7
2012-07-01,69,8
2012-08-01,65,10
2012-09-01,62,8
2012-10-01,59,6
2012-11-01,57,7
2012-12-01,65,7
2013-01-01,67,9
2013-02-01,65,8
2013-03-01,62,8
2013-04-01,61,8
2013-05-01,60,9
2013-06-01,65,10
2013-07-01,72,12
2013-08-01,75,12
2013-09-01,70,10
2013-10-01,67,11
2013-11-01,65,10
2013-12-01,73,13
2014-01-01,77,13
2014-02-01,70,12
2014-03-01,74,12
2014-04-01,73,11
2014-05-01,74,12
2014-06-01,75,11
2014-07-01,78,14
2014-08-01,81,14
2014-09-01,75,12
2014-10-01,69,12
2014-11-01,70,11
2014-12-01,75,11
2015-01-01,76,11
2015-02-01,73,11
2015-03-01,68,10
2015-04-01,70,10
2015-05-01,70,11
2015-06-01,75,12
2015-07-01,82,12
2015-08-01,84,13
2015-09-01,79,11
2015-10-01,74,11
2015-11-01,70,11
2015-12-01,76,11
2016-01-01,83,13
2016-02-01,74,11
2016-03-01,74,10
2016-04-01,77,11
2016-05-01,75,10
2016-06-01,84,11
2016-07-01,94,14
2016-08-01,88,14
2016-09-01,87,12
2016-10-01,85,13
2016-11-01,88,12
2016-12-01,96,13
2017-01-01,100,14
