date,remove Google account,how to delete a google account
2011-01-01,9,5
2011-02-01,10,5
2011-03-01,9,7
2011-04-01,10,5
2011-05-01,10,8
2011-06-01,11,9
2011-07-01,14,12
2011-08-01,14,10
2011-09-01,13,10
2011-10-01,14,11
2011-11-01,15,10
2011-12-01,19,12
2012-01-01,16,11
2012-02-01,17,9
2012-03-01,17,10
2012-04-01,18,10
2012-05-01,17,10
2012-06-01,19,10
2012-07-01,22,11
2012-08-01,24,14
2012-09-01,22,10
2012-10-01,23,9
2012-11-01,23,10
2012-12-01,27,11
2013-01-01,24,12
2013-02-01,26,12
2013-03-01,24,12
2013-04-01,27,13
2013-05-01,27,13
2013-06-01,29,15
2013-07-01,31,16
2013-08-01,33,17
2013-09-01,33,14
2013-10-01,32,16
2013-11-01,36,15
2013-12-01,41,17
2014-01-01,41,19
2014-02-01,40,18
2014-03-01,40,17
2014-04-01,39,17
2014-05-01,38,17
2014-06-01,42,16
2014-07-01,44,19
2014-08-01,45,19
2014-09-01,44,17
2014-10-01,42,16
2014-11-01,44,16
2014-12-01,45,16
2015-01-01,46,15
2015-02-01,42,14
2015-03-01,43,15
2015-04-01,45,15
2015-05-01,49,15
2015-06-01,52,16
2015-07-01,54,18
2015-08-01,57,18
2015-09-01,58,16
2015-10-01,57,16
2015-11-01,58,16
2015-12-01,66,16
2016-01-01,67,18
2016-02-01,66,17
2016-03-01,69,15
2016-04-01,68,15
2016-05-01,74,16
2016-06-01,80,17
2016-07-01,99,21
2016-08-01,100,21
2016-09-01,93,17
2016-10-01,93,18
2016-11-01,92,16
2016-12-01,98,20
2017-01-01,95,19
