date,how to remove gmail account from computer
2011-01-01,20
2011-02-01,42
2011-03-01,19
2011-04-01,20
2011-05-01,19
2011-06-01,19
2011-07-01,19
2011-08-01,36
2011-09-01,17
2011-10-01,17
2011-11-01,25
2011-12-01,17
2012-01-01,46
2012-02-01,22
2012-03-01,22
2012-04-01,31
2012-05-01,19
2012-06-01,30
2012-07-01,15
2012-08-01,29
2012-09-01,22
2012-10-01,13
2012-11-01,47
2012-12-01,13
2013-01-01,42
2013-02-01,24
2013-03-01,24
2013-04-01,24
2013-05-01,12
2013-06-01,16
2013-07-01,20
2013-08-01,30
2013-09-01,12
2013-10-01,26
2013-11-01,33
2013-12-01,41
2014-01-01,45
2014-02-01,50
2014-03-01,44
2014-04-01,43
2014-05-01,65
2014-06-01,56
2014-07-01,42
2014-08-01,66
2014-09-01,100
2014-10-01,49
2014-11-01,36
2014-12-01,27
2015-01-01,57
2015-02-01,29
2015-03-01,36
2015-04-01,27
2015-05-01,59
2015-06-01,60
2015-07-01,36
2015-08-01,65
2015-09-01,38
2015-10-01,79
2015-11-01,68
2015-12-01,47
2016-01-01,74
2016-02-01,71
2016-03-01,61
2016-04-01,89
2016-05-01,64
2016-06-01,60
2016-07-01,81
2016-08-01,79
2016-09-01,62
2016-10-01,48
2016-11-01,59
2016-12-01,59
2017-01-01,84
