date,how to sign out of gmail on iphone
2011-01-01,0
2011-02-01,9
2011-03-01,8
2011-04-01,12
2011-05-01,16
2011-06-01,13
2011-07-01,16
2011-08-01,8
2011-09-01,15
2011-10-01,7
2011-11-01,19
2011-12-01,12
2012-01-01,15
2012-02-01,16
2012-03-01,13
2012-04-01,10
2012-05-01,19
2012-06-01,17
2012-07-01,13
2012-08-01,23
2012-09-01,19
2012-10-01,15
2012-11-01,19
2012-12-01,14
2013-01-01,21
2013-02-01,27
2013-03-01,21
2013-04-01,17
2013-05-01,19
2013-06-01,18
2013-07-01,29
2013-08-01,31
2013-09-01,27
2013-10-01,24
2013-11-01,27
2013-12-01,31
2014-01-01,35
2014-02-01,45
2014-03-01,50
2014-04-01,49
2014-05-01,47
2014-06-01,38
2014-07-01,32
2014-08-01,29
2014-09-01,47
2014-10-01,51
2014-11-01,42
2014-12-01,37
2015-01-01,43
2015-02-01,34
2015-03-01,37
2015-04-01,26
2015-05-01,43
2015-06-01,53
2015-07-01,53
2015-08-01,45
2015-09-01,40
2015-10-01,51
2015-11-01,39
2015-12-01,45
2016-01-01,41
2016-02-01,45
2016-03-01,40
2016-04-01,31
2016-05-01,39
2016-06-01,40
2016-07-01,54
2016-08-01,53
2016-09-01,49
2016-10-01,75
2016-11-01,75
2016-12-01,98
2017-01-01,100
