date,How to permanently delete Instagram,how to delete a instagram account
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,1
2011-08-01,0,0
2011-09-01,0,1
2011-10-01,0,1
2011-11-01,0,1
2011-12-01,1,2
2012-01-01,1,2
2012-02-01,1,3
2012-03-01,0,2
2012-04-01,1,7
2012-05-01,2,6
2012-06-01,2,8
2012-07-01,1,11
2012-08-01,1,14
2012-09-01,1,13
2012-10-01,1,11
2012-11-01,3,10
2012-12-01,5,17
2013-01-01,3,23
2013-02-01,4,24
2013-03-01,4,17
2013-04-01,5,18
2013-05-01,3,23
2013-06-01,3,33
2013-07-01,4,26
2013-08-01,4,29
2013-09-01,4,21
2013-10-01,5,21
2013-11-01,4,19
2013-12-01,5,28
2014-01-01,4,25
2014-02-01,5,27
2014-03-01,5,23
2014-04-01,4,29
2014-05-01,5,27
2014-06-01,5,30
2014-07-01,7,38
2014-08-01,5,32
2014-09-01,6,25
2014-10-01,5,26
2014-11-01,6,30
2014-12-01,6,38
2015-01-01,8,42
2015-02-01,6,36
2015-03-01,7,37
2015-04-01,7,41
2015-05-01,8,33
2015-06-01,7,39
2015-07-01,24,54
2015-08-01,29,56
2015-09-01,25,40
2015-10-01,28,41
2015-11-01,28,40
2015-12-01,36,40
2016-01-01,37,51
2016-02-01,37,45
2016-03-01,44,54
2016-04-01,53,43
2016-05-01,51,49
2016-06-01,46,57
2016-07-01,54,64
2016-08-01,66,52
2016-09-01,53,39
2016-10-01,53,51
2016-11-01,49,54
2016-12-01,84,61
2017-01-01,100,59
