date,how do i deactivate my facebook account,how to delete a instagram account
2011-01-01,20,0
2011-02-01,15,0
2011-03-01,14,0
2011-04-01,17,0
2011-05-01,16,0
2011-06-01,18,0
2011-07-01,24,0
2011-08-01,66,1
2011-09-01,54,1
2011-10-01,45,1
2011-11-01,51,3
2011-12-01,52,2
2012-01-01,49,3
2012-02-01,41,3
2012-03-01,45,3
2012-04-01,58,8
2012-05-01,43,10
2012-06-01,51,14
2012-07-01,43,19
2012-08-01,24,24
2012-09-01,29,21
2012-10-01,50,22
2012-11-01,37,22
2012-12-01,22,28
2013-01-01,24,37
2013-02-01,53,40
2013-03-01,38,30
2013-04-01,18,34
2013-05-01,21,33
2013-06-01,28,52
2013-07-01,53,42
2013-08-01,29,46
2013-09-01,19,28
2013-10-01,21,32
2013-11-01,34,30
2013-12-01,30,46
2014-01-01,21,44
2014-02-01,18,41
2014-03-01,31,42
2014-04-01,28,50
2014-05-01,20,42
2014-06-01,18,50
2014-07-01,19,58
2014-08-01,36,48
2014-09-01,26,40
2014-10-01,19,39
2014-11-01,14,47
2014-12-01,13,62
2015-01-01,25,67
2015-02-01,26,56
2015-03-01,21,60
2015-04-01,16,70
2015-05-01,16,54
2015-06-01,28,60
2015-07-01,37,90
2015-08-01,15,82
2015-09-01,20,67
2015-10-01,16,63
2015-11-01,33,61
2015-12-01,38,66
2016-01-01,31,89
2016-02-01,15,72
2016-03-01,16,87
2016-04-01,22,71
2016-05-01,34,76
2016-06-01,27,95
2016-07-01,24,98
2016-08-01,21,81
2016-09-01,28,72
2016-10-01,36,79
2016-11-01,26,88
2016-12-01,17,100
2017-01-01,26,99
