date,how to delete facebook account permanently immediately,how to delete a instagram account
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,3,0
2011-04-01,3,0
2011-05-01,2,0
2011-06-01,5,0
2011-07-01,5,0
2011-08-01,8,1
2011-09-01,11,1
2011-10-01,12,1
2011-11-01,12,3
2011-12-01,29,2
2012-01-01,28,3
2012-02-01,25,3
2012-03-01,15,3
2012-04-01,4,8
2012-05-01,5,10
2012-06-01,6,14
2012-07-01,4,19
2012-08-01,7,24
2012-09-01,4,21
2012-10-01,5,22
2012-11-01,7,22
2012-12-01,11,28
2013-01-01,3,37
2013-02-01,6,40
2013-03-01,6,30
2013-04-01,6,34
2013-05-01,12,33
2013-06-01,8,52
2013-07-01,4,42
2013-08-01,15,46
2013-09-01,8,28
2013-10-01,11,32
2013-11-01,6,30
2013-12-01,5,46
2014-01-01,4,44
2014-02-01,7,41
2014-03-01,5,42
2014-04-01,9,50
2014-05-01,6,42
2014-06-01,13,50
2014-07-01,13,58
2014-08-01,11,48
2014-09-01,8,40
2014-10-01,7,39
2014-11-01,4,47
2014-12-01,5,62
2015-01-01,7,67
2015-02-01,7,56
2015-03-01,25,60
2015-04-01,17,70
2015-05-01,12,54
2015-06-01,12,60
2015-07-01,10,90
2015-08-01,10,82
2015-09-01,12,67
2015-10-01,14,63
2015-11-01,11,61
2015-12-01,14,66
2016-01-01,10,89
2016-02-01,9,72
2016-03-01,11,87
2016-04-01,12,71
2016-05-01,11,76
2016-06-01,14,95
2016-07-01,16,98
2016-08-01,12,81
2016-09-01,15,72
2016-10-01,10,79
2016-11-01,6,88
2016-12-01,6,100
2017-01-01,7,99
