date,How do i delete Instagram account
2011-01-01,2
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,2
2011-06-01,0
2011-07-01,2
2011-08-01,2
2011-09-01,2
2011-10-01,4
2011-11-01,3
2011-12-01,5
2012-01-01,5
2012-02-01,5
2012-03-01,9
2012-04-01,19
2012-05-01,18
2012-06-01,16
2012-07-01,18
2012-08-01,20
2012-09-01,21
2012-10-01,31
2012-11-01,32
2012-12-01,51
2013-01-01,69
2013-02-01,66
2013-03-01,41
2013-04-01,38
2013-05-01,31
2013-06-01,71
2013-07-01,48
2013-08-01,38
2013-09-01,33
2013-10-01,50
2013-11-01,49
2013-12-01,30
2014-01-01,35
2014-02-01,44
2014-03-01,70
2014-04-01,60
2014-05-01,32
2014-06-01,39
2014-07-01,55
2014-08-01,59
2014-09-01,45
2014-10-01,31
2014-11-01,40
2014-12-01,62
2015-01-01,62
2015-02-01,33
2015-03-01,30
2015-04-01,42
2015-05-01,49
2015-06-01,57
2015-07-01,55
2015-08-01,66
2015-09-01,76
2015-10-01,80
2015-11-01,57
2015-12-01,49
2016-01-01,64
2016-02-01,93
2016-03-01,78
2016-04-01,55
2016-05-01,61
2016-06-01,96
2016-07-01,100
2016-08-01,74
2016-09-01,57
2016-10-01,78
2016-11-01,99
2016-12-01,88
2017-01-01,89
