date,how to delete a instagram account
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,1
2011-08-01,0
2011-09-01,0
2011-10-01,2
2011-11-01,2
2011-12-01,3
2012-01-01,3
2012-02-01,5
2012-03-01,2
2012-04-01,12
2012-05-01,9
2012-06-01,14
2012-07-01,17
2012-08-01,20
2012-09-01,16
2012-10-01,15
2012-11-01,14
2012-12-01,27
2013-01-01,36
2013-02-01,34
2013-03-01,26
2013-04-01,24
2013-05-01,32
2013-06-01,50
2013-07-01,37
2013-08-01,43
2013-09-01,31
2013-10-01,29
2013-11-01,26
2013-12-01,45
2014-01-01,37
2014-02-01,38
2014-03-01,33
2014-04-01,42
2014-05-01,41
2014-06-01,45
2014-07-01,57
2014-08-01,48
2014-09-01,35
2014-10-01,39
2014-11-01,51
2014-12-01,59
2015-01-01,67
2015-02-01,57
2015-03-01,57
2015-04-01,63
2015-05-01,49
2015-06-01,58
2015-07-01,82
2015-08-01,83
2015-09-01,58
2015-10-01,60
2015-11-01,59
2015-12-01,56
2016-01-01,75
2016-02-01,69
2016-03-01,84
2016-04-01,66
2016-05-01,72
2016-06-01,84
2016-07-01,100
2016-08-01,76
2016-09-01,49
2016-10-01,77
2016-11-01,78
2016-12-01,94
2017-01-01,90
