date,how to reactivate instagram account
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,0
2011-08-01,3
2011-09-01,2
2011-10-01,2
2011-11-01,2
2011-12-01,2
2012-01-01,2
2012-02-01,2
2012-03-01,2
2012-04-01,5
2012-05-01,4
2012-06-01,2
2012-07-01,4
2012-08-01,6
2012-09-01,19
2012-10-01,6
2012-11-01,6
2012-12-01,12
2013-01-01,27
2013-02-01,12
2013-03-01,16
2013-04-01,21
2013-05-01,37
2013-06-01,26
2013-07-01,18
2013-08-01,23
2013-09-01,23
2013-10-01,20
2013-11-01,9
2013-12-01,14
2014-01-01,17
2014-02-01,25
2014-03-01,23
2014-04-01,20
2014-05-01,17
2014-06-01,29
2014-07-01,27
2014-08-01,20
2014-09-01,11
2014-10-01,9
2014-11-01,19
2014-12-01,22
2015-01-01,30
2015-02-01,20
2015-03-01,16
2015-04-01,20
2015-05-01,11
2015-06-01,33
2015-07-01,32
2015-08-01,41
2015-09-01,51
2015-10-01,37
2015-11-01,38
2015-12-01,39
2016-01-01,47
2016-02-01,68
2016-03-01,55
2016-04-01,49
2016-05-01,50
2016-06-01,69
2016-07-01,99
2016-08-01,57
2016-09-01,46
2016-10-01,54
2016-11-01,100
2016-12-01,100
2017-01-01,92
