date,How do you delete a SnapChat Account,how to delete a snapchat account
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,0
2011-11-01,0,0
2011-12-01,0,0
2012-01-01,0,0
2012-02-01,0,0
2012-03-01,1,0
2012-04-01,0,0
2012-05-01,0,1
2012-06-01,1,0
2012-07-01,0,1
2012-08-01,2,3
2012-09-01,1,3
2012-10-01,1,5
2012-11-01,8,23
2012-12-01,7,27
2013-01-01,5,23
2013-02-01,2,11
2013-03-01,7,21
2013-04-01,9,28
2013-05-01,12,25
2013-06-01,7,37
2013-07-01,9,40
2013-08-01,8,32
2013-09-01,9,33
2013-10-01,14,35
2013-11-01,10,35
2013-12-01,10,49
2014-01-01,24,65
2014-02-01,18,41
2014-03-01,11,52
2014-04-01,12,48
2014-05-01,15,77
2014-06-01,15,61
2014-07-01,14,57
2014-08-01,13,51
2014-09-01,8,51
2014-10-01,9,69
2014-11-01,14,64
2014-12-01,24,74
2015-01-01,19,89
2015-02-01,11,65
2015-03-01,15,76
2015-04-01,14,62
2015-05-01,11,49
2015-06-01,11,56
2015-07-01,16,74
2015-08-01,15,78
2015-09-01,12,68
2015-10-01,10,53
2015-11-01,13,59
2015-12-01,11,67
2016-01-01,12,64
2016-02-01,11,67
2016-03-01,18,69
2016-04-01,11,76
2016-05-01,15,91
2016-06-01,14,92
2016-07-01,16,100
2016-08-01,12,85
2016-09-01,13,72
2016-10-01,11,73
2016-11-01,10,69
2016-12-01,13,82
2017-01-01,15,87
