date,delete your account page,how to delete a snapchat account
2011-01-01,9,0
2011-02-01,5,0
2011-03-01,6,0
2011-04-01,11,0
2011-05-01,13,0
2011-06-01,9,0
2011-07-01,12,0
2011-08-01,11,0
2011-09-01,12,0
2011-10-01,9,0
2011-11-01,9,0
2011-12-01,13,0
2012-01-01,12,0
2012-02-01,8,0
2012-03-01,7,0
2012-04-01,8,0
2012-05-01,12,0
2012-06-01,12,0
2012-07-01,10,0
2012-08-01,10,3
2012-09-01,14,3
2012-10-01,11,7
2012-11-01,8,25
2012-12-01,6,28
2013-01-01,15,19
2013-02-01,10,11
2013-03-01,14,21
2013-04-01,11,31
2013-05-01,12,25
2013-06-01,12,34
2013-07-01,20,37
2013-08-01,13,37
2013-09-01,13,27
2013-10-01,13,42
2013-11-01,10,32
2013-12-01,12,50
2014-01-01,13,74
2014-02-01,11,44
2014-03-01,14,51
2014-04-01,12,52
2014-05-01,10,70
2014-06-01,13,68
2014-07-01,7,53
2014-08-01,10,52
2014-09-01,12,55
2014-10-01,7,62
2014-11-01,10,60
2014-12-01,11,71
2015-01-01,12,93
2015-02-01,10,60
2015-03-01,12,70
2015-04-01,12,62
2015-05-01,11,52
2015-06-01,15,52
2015-07-01,14,78
2015-08-01,11,82
2015-09-01,18,71
2015-10-01,18,50
2015-11-01,18,59
2015-12-01,15,66
2016-01-01,17,72
2016-02-01,17,64
2016-03-01,21,75
2016-04-01,24,79
2016-05-01,29,100
2016-06-01,23,83
2016-07-01,25,96
2016-08-01,28,81
2016-09-01,16,70
2016-10-01,28,75
2016-11-01,41,69
2016-12-01,44,87
2017-01-01,39,86
