date,how to delete a sent snapchat message
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,0
2011-08-01,0
2011-09-01,0
2011-10-01,0
2011-11-01,0
2011-12-01,0
2012-01-01,0
2012-02-01,0
2012-03-01,0
2012-04-01,0
2012-05-01,0
2012-06-01,0
2012-07-01,0
2012-08-01,0
2012-09-01,0
2012-10-01,0
2012-11-01,0
2012-12-01,0
2013-01-01,0
2013-02-01,0
2013-03-01,0
2013-04-01,19
2013-05-01,0
2013-06-01,0
2013-07-01,0
2013-08-01,0
2013-09-01,0
2013-10-01,0
2013-11-01,9
2013-12-01,9
2014-01-01,8
2014-02-01,9
2014-03-01,8
2014-04-01,8
2014-05-01,20
2014-06-01,12
2014-07-01,15
2014-08-01,12
2014-09-01,29
2014-10-01,25
2014-11-01,9
2014-12-01,46
2015-01-01,26
2015-02-01,14
2015-03-01,26
2015-04-01,19
2015-05-01,28
2015-06-01,45
2015-07-01,44
2015-08-01,44
2015-09-01,18
2015-10-01,48
2015-11-01,22
2015-12-01,30
2016-01-01,28
2016-02-01,49
2016-03-01,57
2016-04-01,77
2016-05-01,61
2016-06-01,68
2016-07-01,66
2016-08-01,78
2016-09-01,73
2016-10-01,80
2016-11-01,74
2016-12-01,89
2017-01-01,100
