date,twitter widget for blogger,how to delete a twitter account
2011-01-01,7,10
2011-02-01,7,14
2011-03-01,8,17
2011-04-01,4,11
2011-05-01,5,22
2011-06-01,10,19
2011-07-01,5,31
2011-08-01,5,27
2011-09-01,6,22
2011-10-01,5,28
2011-11-01,5,36
2011-12-01,5,36
2012-01-01,5,45
2012-02-01,5,34
2012-03-01,5,38
2012-04-01,5,42
2012-05-01,3,40
2012-06-01,7,47
2012-07-01,5,47
2012-08-01,7,65
2012-09-01,4,57
2012-10-01,7,52
2012-11-01,7,53
2012-12-01,5,54
2013-01-01,9,67
2013-02-01,5,70
2013-03-01,8,54
2013-04-01,3,47
2013-05-01,6,57
2013-06-01,6,65
2013-07-01,5,58
2013-08-01,4,52
2013-09-01,5,52
2013-10-01,4,52
2013-11-01,5,53
2013-12-01,4,53
2014-01-01,5,68
2014-02-01,2,71
2014-03-01,3,68
2014-04-01,4,59
2014-05-01,3,54
2014-06-01,3,67
2014-07-01,1,71
2014-08-01,2,66
2014-09-01,3,65
2014-10-01,2,70
2014-11-01,3,61
2014-12-01,3,70
2015-01-01,3,83
2015-02-01,1,67
2015-03-01,2,62
2015-04-01,3,67
2015-05-01,2,70
2015-06-01,2,100
2015-07-01,2,71
2015-08-01,1,67
2015-09-01,1,65
2015-10-01,1,74
2015-11-01,1,69
2015-12-01,2,69
2016-01-01,1,70
2016-02-01,1,52
2016-03-01,1,61
2016-04-01,0,62
2016-05-01,1,65
2016-06-01,1,61
2016-07-01,2,66
2016-08-01,1,65
2016-09-01,1,60
2016-10-01,1,61
2016-11-01,0,60
2016-12-01,0,56
2017-01-01,0,76
