date,delete all tweets permanently
2011-01-01,66
2011-02-01,69
2011-03-01,64
2011-04-01,64
2011-05-01,64
2011-06-01,64
2011-07-01,63
2011-08-01,58
2011-09-01,58
2011-10-01,55
2011-11-01,56
2011-12-01,54
2012-01-01,50
2012-02-01,58
2012-03-01,66
2012-04-01,81
2012-05-01,96
2012-06-01,50
2012-07-01,48
2012-08-01,48
2012-09-01,49
2012-10-01,44
2012-11-01,44
2012-12-01,45
2013-01-01,80
2013-02-01,66
2013-03-01,59
2013-04-01,66
2013-05-01,73
2013-06-01,81
2013-07-01,39
2013-08-01,39
2013-09-01,39
2013-10-01,36
2013-11-01,56
2013-12-01,75
2014-01-01,69
2014-02-01,76
2014-03-01,35
2014-04-01,35
2014-05-01,51
2014-06-01,66
2014-07-01,57
2014-08-01,38
2014-09-01,74
2014-10-01,70
2014-11-01,70
2014-12-01,70
2015-01-01,83
2015-02-01,36
2015-03-01,49
2015-04-01,100
2015-05-01,32
2015-06-01,99
2015-07-01,33
2015-08-01,43
2015-09-01,63
2015-10-01,60
2015-11-01,92
2015-12-01,47
2016-01-01,73
2016-02-01,44
2016-03-01,55
2016-04-01,29
2016-05-01,42
2016-06-01,57
2016-07-01,29
2016-08-01,75
2016-09-01,84
2016-10-01,44
2016-11-01,53
2016-12-01,36
2017-01-01,25
