date,Cancel youtube account,how to delete a youtube account
2011-01-01,9,33
2011-02-01,11,34
2011-03-01,9,39
2011-04-01,14,32
2011-05-01,8,40
2011-06-01,14,48
2011-07-01,13,57
2011-08-01,15,50
2011-09-01,11,56
2011-10-01,13,54
2011-11-01,18,55
2011-12-01,16,61
2012-01-01,13,52
2012-02-01,11,52
2012-03-01,7,52
2012-04-01,13,67
2012-05-01,14,63
2012-06-01,14,75
2012-07-01,11,87
2012-08-01,12,83
2012-09-01,9,65
2012-10-01,12,47
2012-11-01,10,69
2012-12-01,17,69
2013-01-01,14,78
2013-02-01,12,78
2013-03-01,15,77
2013-04-01,11,70
2013-05-01,13,65
2013-06-01,12,75
2013-07-01,14,89
2013-08-01,11,100
2013-09-01,11,71
2013-10-01,11,64
2013-11-01,8,57
2013-12-01,10,70
2014-01-01,11,72
2014-02-01,8,58
2014-03-01,9,58
2014-04-01,10,68
2014-05-01,8,57
2014-06-01,9,61
2014-07-01,8,67
2014-08-01,9,64
2014-09-01,7,54
2014-10-01,9,49
2014-11-01,7,45
2014-12-01,7,49
2015-01-01,8,58
2015-02-01,8,47
2015-03-01,8,49
2015-04-01,6,52
2015-05-01,8,52
2015-06-01,8,55
2015-07-01,6,56
2015-08-01,7,52
2015-09-01,6,42
2015-10-01,9,41
2015-11-01,7,37
2015-12-01,8,51
2016-01-01,9,49
2016-02-01,7,43
2016-03-01,9,43
2016-04-01,8,38
2016-05-01,8,41
2016-06-01,7,52
2016-07-01,10,51
2016-08-01,10,45
2016-09-01,8,38
2016-10-01,9,40
2016-11-01,9,36
2016-12-01,10,47
2017-01-01,10,44
