date,delete youtube account,how to delete a youtube account
2011-01-01,42,8
2011-02-01,42,9
2011-03-01,41,11
2011-04-01,43,10
2011-05-01,41,9
2011-06-01,53,12
2011-07-01,60,16
2011-08-01,64,16
2011-09-01,62,13
2011-10-01,66,15
2011-11-01,71,16
2011-12-01,78,18
2012-01-01,76,16
2012-02-01,67,15
2012-03-01,63,14
2012-04-01,73,20
2012-05-01,80,17
2012-06-01,80,18
2012-07-01,88,23
2012-08-01,85,23
2012-09-01,69,17
2012-10-01,73,15
2012-11-01,74,18
2012-12-01,83,18
2013-01-01,86,20
2013-02-01,85,20
2013-03-01,88,19
2013-04-01,83,19
2013-05-01,80,19
2013-06-01,88,20
2013-07-01,93,25
2013-08-01,100,28
2013-09-01,79,18
2013-10-01,73,17
2013-11-01,73,16
2013-12-01,73,17
2014-01-01,76,17
2014-02-01,66,16
2014-03-01,71,18
2014-04-01,66,16
2014-05-01,64,16
2014-06-01,64,15
2014-07-01,77,20
2014-08-01,74,18
2014-09-01,62,14
2014-10-01,65,13
2014-11-01,61,14
2014-12-01,64,14
2015-01-01,65,17
2015-02-01,59,12
2015-03-01,54,14
2015-04-01,57,14
2015-05-01,55,14
2015-06-01,56,15
2015-07-01,63,14
2015-08-01,63,14
2015-09-01,51,11
2015-10-01,49,10
2015-11-01,48,10
2015-12-01,55,13
2016-01-01,55,13
2016-02-01,53,12
2016-03-01,52,11
2016-04-01,50,12
2016-05-01,48,11
2016-06-01,54,13
2016-07-01,61,14
2016-08-01,58,13
2016-09-01,49,10
2016-10-01,49,10
2016-11-01,49,10
2016-12-01,54,12
2017-01-01,60,13
