date,youtube delete my account,how to delete a youtube account
2011-01-01,23,28
2011-02-01,28,33
2011-03-01,21,38
2011-04-01,21,36
2011-05-01,23,34
2011-06-01,32,43
2011-07-01,34,57
2011-08-01,40,55
2011-09-01,44,48
2011-10-01,42,53
2011-11-01,38,58
2011-12-01,47,63
2012-01-01,37,56
2012-02-01,38,52
2012-03-01,38,50
2012-04-01,46,71
2012-05-01,46,60
2012-06-01,54,64
2012-07-01,47,81
2012-08-01,53,83
2012-09-01,39,60
2012-10-01,44,52
2012-11-01,48,64
2012-12-01,45,64
2013-01-01,51,73
2013-02-01,49,70
2013-03-01,43,66
2013-04-01,50,67
2013-05-01,46,67
2013-06-01,46,71
2013-07-01,49,88
2013-08-01,58,100
2013-09-01,44,63
2013-10-01,40,59
2013-11-01,41,56
2013-12-01,41,62
2014-01-01,44,62
2014-02-01,44,58
2014-03-01,39,63
2014-04-01,37,57
2014-05-01,36,56
2014-06-01,30,55
2014-07-01,43,71
2014-08-01,42,66
2014-09-01,31,51
2014-10-01,33,46
2014-11-01,32,51
2014-12-01,31,51
2015-01-01,34,59
2015-02-01,31,44
2015-03-01,31,50
2015-04-01,27,49
2015-05-01,27,50
2015-06-01,29,55
2015-07-01,33,51
2015-08-01,35,50
2015-09-01,28,40
2015-10-01,22,36
2015-11-01,26,36
2015-12-01,29,45
2016-01-01,30,45
2016-02-01,28,43
2016-03-01,30,39
2016-04-01,23,43
2016-05-01,24,39
2016-06-01,28,45
2016-07-01,29,49
2016-08-01,36,48
2016-09-01,26,37
2016-10-01,25,35
2016-11-01,26,36
2016-12-01,28,42
2017-01-01,31,46
