date,How to delete Facebook,how to delete facebook
2011-01-01,61,61
2011-02-01,56,56
2011-03-01,55,55
2011-04-01,58,58
2011-05-01,60,60
2011-06-01,65,65
2011-07-01,72,72
2011-08-01,86,86
2011-09-01,85,85
2011-10-01,85,85
2011-11-01,91,91
2011-12-01,100,100
2012-01-01,97,97
2012-02-01,99,99
2012-03-01,97,97
2012-04-01,90,90
2012-05-01,84,84
2012-06-01,85,85
2012-07-01,82,82
2012-08-01,89,89
2012-09-01,88,88
2012-10-01,77,77
2012-11-01,72,72
2012-12-01,79,79
2013-01-01,77,77
2013-02-01,71,71
2013-03-01,66,66
2013-04-01,64,64
2013-05-01,60,60
2013-06-01,61,61
2013-07-01,61,61
2013-08-01,62,62
2013-09-01,58,58
2013-10-01,56,56
2013-11-01,53,53
2013-12-01,56,56
2014-01-01,59,59
2014-02-01,55,55
2014-03-01,53,53
2014-04-01,52,52
2014-05-01,53,53
2014-06-01,56,56
2014-07-01,58,58
2014-08-01,62,62
2014-09-01,56,56
2014-10-01,52,52
2014-11-01,50,50
2014-12-01,53,53
2015-01-01,54,54
2015-02-01,51,51
2015-03-01,49,49
2015-04-01,48,48
2015-05-01,50,50
2015-06-01,54,54
2015-07-01,56,56
2015-08-01,54,54
2015-09-01,50,50
2015-10-01,49,49
2015-11-01,48,48
2015-12-01,50,50
2016-01-01,53,53
2016-02-01,48,48
2016-03-01,49,49
2016-04-01,51,51
2016-05-01,51,51
2016-06-01,54,54
2016-07-01,57,57
2016-08-01,53,53
2016-09-01,53,53
2016-10-01,53,53
2016-11-01,55,55
2016-12-01,51,51
2017-01-01,57,57
