date,delete my account,how to delete facebook
2011-01-01,17,63
2011-02-01,16,57
2011-03-01,14,55
2011-04-01,15,59
2011-05-01,16,61
2011-06-01,18,67
2011-07-01,19,73
2011-08-01,21,87
2011-09-01,20,84
2011-10-01,20,87
2011-11-01,21,92
2011-12-01,22,100
2012-01-01,23,99
2012-02-01,21,99
2012-03-01,21,100
2012-04-01,21,91
2012-05-01,21,86
2012-06-01,22,88
2012-07-01,23,84
2012-08-01,24,90
2012-09-01,22,88
2012-10-01,22,79
2012-11-01,21,72
2012-12-01,23,81
2013-01-01,24,79
2013-02-01,25,72
2013-03-01,24,67
2013-04-01,23,65
2013-05-01,22,61
2013-06-01,25,62
2013-07-01,27,62
2013-08-01,27,62
2013-09-01,25,59
2013-10-01,24,55
2013-11-01,24,54
2013-12-01,26,57
2014-01-01,28,60
2014-02-01,26,56
2014-03-01,27,54
2014-04-01,26,54
2014-05-01,26,53
2014-06-01,27,57
2014-07-01,28,59
2014-08-01,29,63
2014-09-01,27,56
2014-10-01,25,52
2014-11-01,25,51
2014-12-01,27,52
2015-01-01,28,55
2015-02-01,26,51
2015-03-01,25,50
2015-04-01,25,49
2015-05-01,24,50
2015-06-01,27,55
2015-07-01,29,57
2015-08-01,30,55
2015-09-01,28,50
2015-10-01,26,50
2015-11-01,25,48
2015-12-01,27,51
2016-01-01,28,54
2016-02-01,26,48
2016-03-01,26,49
2016-04-01,26,51
2016-05-01,27,52
2016-06-01,31,55
2016-07-01,33,57
2016-08-01,30,55
2016-09-01,30,54
2016-10-01,30,53
2016-11-01,31,55
2016-12-01,32,52
2017-01-01,34,58
