date,Deleting gmail,how to delete gmail
2011-01-01,7,43
2011-02-01,8,43
2011-03-01,8,41
2011-04-01,8,47
2011-05-01,8,44
2011-06-01,9,51
2011-07-01,10,59
2011-08-01,9,55
2011-09-01,9,57
2011-10-01,8,55
2011-11-01,8,56
2011-12-01,10,60
2012-01-01,9,60
2012-02-01,8,53
2012-03-01,8,50
2012-04-01,7,52
2012-05-01,7,51
2012-06-01,8,56
2012-07-01,9,61
2012-08-01,8,65
2012-09-01,8,63
2012-10-01,8,56
2012-11-01,8,58
2012-12-01,9,68
2013-01-01,8,68
2013-02-01,8,68
2013-03-01,9,68
2013-04-01,8,70
2013-05-01,8,71
2013-06-01,9,76
2013-07-01,8,79
2013-08-01,9,80
2013-09-01,9,80
2013-10-01,9,78
2013-11-01,9,76
2013-12-01,9,90
2014-01-01,10,96
2014-02-01,9,89
2014-03-01,9,90
2014-04-01,10,89
2014-05-01,9,86
2014-06-01,8,88
2014-07-01,8,91
2014-08-01,10,100
2014-09-01,10,95
2014-10-01,9,90
2014-11-01,9,89
2014-12-01,9,84
2015-01-01,9,86
2015-02-01,8,81
2015-03-01,8,83
2015-04-01,7,84
2015-05-01,8,83
2015-06-01,9,86
2015-07-01,9,91
2015-08-01,9,95
2015-09-01,8,88
2015-10-01,8,84
2015-11-01,8,79
2015-12-01,8,85
2016-01-01,9,93
2016-02-01,8,86
2016-03-01,8,86
2016-04-01,7,82
2016-05-01,8,85
2016-06-01,7,91
2016-07-01,8,98
2016-08-01,8,94
2016-09-01,8,93
2016-10-01,7,89
2016-11-01,7,91
2016-12-01,7,97
2017-01-01,8,96
