date,How to delete gmail account,how to delete gmail
2011-01-01,27,43
2011-02-01,26,43
2011-03-01,25,41
2011-04-01,28,47
2011-05-01,30,44
2011-06-01,32,51
2011-07-01,40,59
2011-08-01,36,55
2011-09-01,37,57
2011-10-01,33,55
2011-11-01,37,56
2011-12-01,38,60
2012-01-01,38,60
2012-02-01,29,53
2012-03-01,27,50
2012-04-01,28,52
2012-05-01,29,51
2012-06-01,30,56
2012-07-01,34,61
2012-08-01,37,65
2012-09-01,32,63
2012-10-01,28,56
2012-11-01,30,58
2012-12-01,33,68
2013-01-01,34,68
2013-02-01,33,68
2013-03-01,35,68
2013-04-01,36,70
2013-05-01,38,71
2013-06-01,41,76
2013-07-01,42,79
2013-08-01,44,80
2013-09-01,41,80
2013-10-01,39,78
2013-11-01,39,76
2013-12-01,48,90
2014-01-01,51,96
2014-02-01,51,89
2014-03-01,49,90
2014-04-01,48,89
2014-05-01,48,86
2014-06-01,50,88
2014-07-01,51,91
2014-08-01,54,100
2014-09-01,50,95
2014-10-01,49,90
2014-11-01,45,89
2014-12-01,44,84
2015-01-01,44,86
2015-02-01,40,81
2015-03-01,40,83
2015-04-01,43,84
2015-05-01,42,83
2015-06-01,44,86
2015-07-01,44,91
2015-08-01,48,95
2015-09-01,46,88
2015-10-01,41,84
2015-11-01,40,79
2015-12-01,42,85
2016-01-01,47,93
2016-02-01,42,86
2016-03-01,41,86
2016-04-01,42,82
2016-05-01,42,85
2016-06-01,46,91
2016-07-01,52,98
2016-08-01,50,94
2016-09-01,48,93
2016-10-01,47,89
2016-11-01,45,91
2016-12-01,49,97
2017-01-01,50,96
