date,delete my gmail,how to delete gmail
2011-01-01,9,43
2011-02-01,11,43
2011-03-01,10,41
2011-04-01,11,47
2011-05-01,11,44
2011-06-01,13,51
2011-07-01,14,59
2011-08-01,13,55
2011-09-01,14,57
2011-10-01,13,55
2011-11-01,14,56
2011-12-01,16,60
2012-01-01,15,60
2012-02-01,12,53
2012-03-01,14,50
2012-04-01,13,52
2012-05-01,12,51
2012-06-01,15,56
2012-07-01,15,61
2012-08-01,15,65
2012-09-01,14,63
2012-10-01,15,56
2012-11-01,15,58
2012-12-01,16,68
2013-01-01,16,68
2013-02-01,17,68
2013-03-01,17,68
2013-04-01,17,70
2013-05-01,17,71
2013-06-01,18,76
2013-07-01,19,79
2013-08-01,19,80
2013-09-01,19,80
2013-10-01,20,78
2013-11-01,18,76
2013-12-01,23,90
2014-01-01,24,96
2014-02-01,22,89
2014-03-01,22,90
2014-04-01,21,89
2014-05-01,19,86
2014-06-01,19,88
2014-07-01,21,91
2014-08-01,22,100
2014-09-01,21,95
2014-10-01,20,90
2014-11-01,20,89
2014-12-01,21,84
2015-01-01,19,86
2015-02-01,18,81
2015-03-01,18,83
2015-04-01,19,84
2015-05-01,18,83
2015-06-01,20,86
2015-07-01,20,91
2015-08-01,20,95
2015-09-01,20,88
2015-10-01,19,84
2015-11-01,18,79
2015-12-01,19,85
2016-01-01,22,93
2016-02-01,19,86
2016-03-01,18,86
2016-04-01,18,82
2016-05-01,18,85
2016-06-01,20,91
2016-07-01,21,98
2016-08-01,21,94
2016-09-01,21,93
2016-10-01,20,89
2016-11-01,20,91
2016-12-01,22,97
2017-01-01,22,96
