date,gmail uninstall
2011-01-01,65
2011-02-01,65
2011-03-01,52
2011-04-01,58
2011-05-01,54
2011-06-01,66
2011-07-01,52
2011-08-01,66
2011-09-01,61
2011-10-01,63
2011-11-01,61
2011-12-01,60
2012-01-01,55
2012-02-01,51
2012-03-01,65
2012-04-01,58
2012-05-01,48
2012-06-01,51
2012-07-01,63
2012-08-01,64
2012-09-01,58
2012-10-01,58
2012-11-01,60
2012-12-01,68
2013-01-01,60
2013-02-01,53
2013-03-01,64
2013-04-01,62
2013-05-01,74
2013-06-01,75
2013-07-01,76
2013-08-01,80
2013-09-01,75
2013-10-01,79
2013-11-01,77
2013-12-01,79
2014-01-01,100
2014-02-01,80
2014-03-01,85
2014-04-01,84
2014-05-01,81
2014-06-01,73
2014-07-01,75
2014-08-01,76
2014-09-01,95
2014-10-01,84
2014-11-01,94
2014-12-01,78
2015-01-01,86
2015-02-01,82
2015-03-01,78
2015-04-01,81
2015-05-01,75
2015-06-01,78
2015-07-01,83
2015-08-01,81
2015-09-01,84
2015-10-01,73
2015-11-01,63
2015-12-01,79
2016-01-01,79
2016-02-01,68
2016-03-01,70
2016-04-01,72
2016-05-01,60
2016-06-01,65
2016-07-01,73
2016-08-01,76
2016-09-01,76
2016-10-01,73
2016-11-01,65
2016-12-01,72
2017-01-01,69
