date,delete twitter account,how to delete twitter
2011-01-01,13,20
2011-02-01,12,18
2011-03-01,16,22
2011-04-01,16,24
2011-05-01,20,28
2011-06-01,22,31
2011-07-01,27,38
2011-08-01,23,35
2011-09-01,24,34
2011-10-01,26,41
2011-11-01,31,44
2011-12-01,34,48
2012-01-01,37,54
2012-02-01,35,51
2012-03-01,31,50
2012-04-01,38,59
2012-05-01,40,59
2012-06-01,45,71
2012-07-01,50,84
2012-08-01,56,79
2012-09-01,49,70
2012-10-01,45,67
2012-11-01,48,73
2012-12-01,54,83
2013-01-01,65,88
2013-02-01,65,79
2013-03-01,52,82
2013-04-01,47,76
2013-05-01,58,69
2013-06-01,66,75
2013-07-01,59,86
2013-08-01,60,82
2013-09-01,66,73
2013-10-01,60,67
2013-11-01,51,69
2013-12-01,51,78
2014-01-01,68,85
2014-02-01,79,81
2014-03-01,67,82
2014-04-01,56,77
2014-05-01,56,73
2014-06-01,72,77
2014-07-01,79,85
2014-08-01,79,85
2014-09-01,69,75
2014-10-01,65,75
2014-11-01,66,79
2014-12-01,74,83
2015-01-01,84,87
2015-02-01,74,84
2015-03-01,71,84
2015-04-01,72,88
2015-05-01,69,86
2015-06-01,76,89
2015-07-01,83,100
2015-08-01,76,98
2015-09-01,70,87
2015-10-01,67,74
2015-11-01,68,77
2015-12-01,68,84
2016-01-01,72,88
2016-02-01,68,78
2016-03-01,67,78
2016-04-01,63,74
2016-05-01,62,80
2016-06-01,77,91
2016-07-01,85,94
2016-08-01,77,85
2016-09-01,65,80
2016-10-01,64,76
2016-11-01,69,80
2016-12-01,76,79
2017-01-01,83,93
