date,How to encrypt emails
2011-01-01,46
2011-02-01,69
2011-03-01,35
2011-04-01,48
2011-05-01,53
2011-06-01,43
2011-07-01,36
2011-08-01,51
2011-09-01,50
2011-10-01,53
2011-11-01,32
2011-12-01,36
2012-01-01,53
2012-02-01,30
2012-03-01,52
2012-04-01,64
2012-05-01,36
2012-06-01,42
2012-07-01,42
2012-08-01,21
2012-09-01,41
2012-10-01,34
2012-11-01,46
2012-12-01,42
2013-01-01,72
2013-02-01,59
2013-03-01,37
2013-04-01,38
2013-05-01,63
2013-06-01,42
2013-07-01,71
2013-08-01,100
2013-09-01,51
2013-10-01,69
2013-11-01,49
2013-12-01,26
2014-01-01,53
2014-02-01,25
2014-03-01,55
2014-04-01,44
2014-05-01,85
2014-06-01,64
2014-07-01,50
2014-08-01,37
2014-09-01,45
2014-10-01,50
2014-11-01,75
2014-12-01,34
2015-01-01,38
2015-02-01,44
2015-03-01,34
2015-04-01,70
2015-05-01,34
2015-06-01,57
2015-07-01,40
2015-08-01,58
2015-09-01,69
2015-10-01,63
2015-11-01,59
2015-12-01,56
2016-01-01,62
2016-02-01,59
2016-03-01,76
2016-04-01,60
2016-05-01,71
2016-06-01,71
2016-07-01,68
2016-08-01,56
2016-09-01,45
2016-10-01,48
2016-11-01,86
2016-12-01,81
2017-01-01,79
