date,google hangouts extension,google hangouts privacy
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,3
2011-08-01,0,2
2011-09-01,0,2
2011-10-01,0,2
2011-11-01,0,2
2011-12-01,0,0
2012-01-01,2,0
2012-02-01,2,0
2012-03-01,2,0
2012-04-01,2,0
2012-05-01,2,0
2012-06-01,2,2
2012-07-01,2,2
2012-08-01,2,2
2012-09-01,2,2
2012-10-01,2,3
2012-11-01,2,2
2012-12-01,2,2
2013-01-01,2,2
2013-02-01,2,3
2013-03-01,3,2
2013-04-01,3,3
2013-05-01,39,7
2013-06-01,21,4
2013-07-01,35,3
2013-08-01,34,6
2013-09-01,20,2
2013-10-01,29,2
2013-11-01,29,3
2013-12-01,43,7
2014-01-01,28,6
2014-02-01,46,6
2014-03-01,38,6
2014-04-01,38,10
2014-05-01,49,2
2014-06-01,43,3
2014-07-01,37,4
2014-08-01,30,7
2014-09-01,47,6
2014-10-01,57,5
2014-11-01,46,5
2014-12-01,52,8
2015-01-01,58,8
2015-02-01,65,8
2015-03-01,57,4
2015-04-01,58,10
2015-05-01,44,5
2015-06-01,57,4
2015-07-01,43,6
2015-08-01,47,3
2015-09-01,51,3
2015-10-01,45,5
2015-11-01,39,3
2015-12-01,56,3
2016-01-01,64,5
2016-02-01,45,4
2016-03-01,51,5
2016-04-01,41,2
2016-05-01,51,1
2016-06-01,54,4
2016-07-01,44,6
2016-08-01,64,4
2016-09-01,100,4
2016-10-01,72,4
2016-11-01,65,9
2016-12-01,65,4
2017-01-01,82,2
