date,how to use google hangout,google hangouts privacy
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,6,3
2011-08-01,9,2
2011-09-01,13,2
2011-10-01,8,2
2011-11-01,4,2
2011-12-01,12,0
2012-01-01,15,0
2012-02-01,7,0
2012-03-01,13,0
2012-04-01,13,0
2012-05-01,11,0
2012-06-01,13,2
2012-07-01,21,2
2012-08-01,30,2
2012-09-01,29,2
2012-10-01,21,3
2012-11-01,25,2
2012-12-01,35,2
2013-01-01,31,2
2013-02-01,37,3
2013-03-01,44,2
2013-04-01,30,3
2013-05-01,84,6
2013-06-01,78,4
2013-07-01,73,2
2013-08-01,76,5
2013-09-01,78,1
2013-10-01,78,1
2013-11-01,81,3
2013-12-01,69,7
2014-01-01,100,5
2014-02-01,88,5
2014-03-01,83,5
2014-04-01,82,9
2014-05-01,71,2
2014-06-01,68,3
2014-07-01,82,4
2014-08-01,73,6
2014-09-01,82,6
2014-10-01,78,4
2014-11-01,70,4
2014-12-01,65,7
2015-01-01,62,7
2015-02-01,80,7
2015-03-01,74,3
2015-04-01,61,9
2015-05-01,53,5
2015-06-01,64,3
2015-07-01,48,5
2015-08-01,61,3
2015-09-01,56,2
2015-10-01,52,5
2015-11-01,45,2
2015-12-01,42,3
2016-01-01,56,5
2016-02-01,54,3
2016-03-01,50,4
2016-04-01,34,2
2016-05-01,43,1
2016-06-01,36,3
2016-07-01,36,6
2016-08-01,39,4
2016-09-01,40,3
2016-10-01,41,4
2016-11-01,45,8
2016-12-01,37,4
2017-01-01,38,2
