date,hangouts desktop notifications
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,0
2011-08-01,0
2011-09-01,0
2011-10-01,0
2011-11-01,0
2011-12-01,0
2012-01-01,17
2012-02-01,0
2012-03-01,0
2012-04-01,0
2012-05-01,0
2012-06-01,0
2012-07-01,0
2012-08-01,0
2012-09-01,0
2012-10-01,15
2012-11-01,15
2012-12-01,15
2013-01-01,15
2013-02-01,15
2013-03-01,21
2013-04-01,27
2013-05-01,33
2013-06-01,41
2013-07-01,40
2013-08-01,27
2013-09-01,39
2013-10-01,19
2013-11-01,63
2013-12-01,13
2014-01-01,41
2014-02-01,45
2014-03-01,52
2014-04-01,24
2014-05-01,79
2014-06-01,47
2014-07-01,26
2014-08-01,39
2014-09-01,63
2014-10-01,66
2014-11-01,49
2014-12-01,42
2015-01-01,34
2015-02-01,73
2015-03-01,62
2015-04-01,28
2015-05-01,66
2015-06-01,23
2015-07-01,100
2015-08-01,77
2015-09-01,82
2015-10-01,62
2015-11-01,42
2015-12-01,59
2016-01-01,45
2016-02-01,60
2016-03-01,84
2016-04-01,63
2016-05-01,75
2016-06-01,49
2016-07-01,74
2016-08-01,86
2016-09-01,81
2016-10-01,55
2016-11-01,50
2016-12-01,69
2017-01-01,56
