date,skype license for business,skype privacy policy
2011-01-01,0,13
2011-02-01,0,19
2011-03-01,17,9
2011-04-01,8,9
2011-05-01,8,9
2011-06-01,9,17
2011-07-01,11,17
2011-08-01,14,16
2011-09-01,16,16
2011-10-01,8,8
2011-11-01,0,11
2011-12-01,0,7
2012-01-01,0,21
2012-02-01,0,14
2012-03-01,0,10
2012-04-01,0,15
2012-05-01,0,20
2012-06-01,0,14
2012-07-01,7,7
2012-08-01,20,20
2012-09-01,6,7
2012-10-01,6,12
2012-11-01,9,18
2012-12-01,6,6
2013-01-01,7,14
2013-02-01,9,21
2013-03-01,10,19
2013-04-01,11,11
2013-05-01,5,11
2013-06-01,5,5
2013-07-01,5,8
2013-08-01,8,8
2013-09-01,10,26
2013-10-01,5,5
2013-11-01,5,10
2013-12-01,5,20
2014-01-01,5,12
2014-02-01,5,5
2014-03-01,5,7
2014-04-01,5,13
2014-05-01,5,19
2014-06-01,5,16
2014-07-01,5,11
2014-08-01,5,11
2014-09-01,5,8
2014-10-01,5,10
2014-11-01,5,10
2014-12-01,5,10
2015-01-01,5,9
2015-02-01,5,20
2015-03-01,4,4
2015-04-01,23,9
2015-05-01,40,9
2015-06-01,52,20
2015-07-01,49,11
2015-08-01,31,11
2015-09-01,47,19
2015-10-01,60,4
2015-11-01,61,6
2015-12-01,51,9
2016-01-01,70,8
2016-02-01,92,12
2016-03-01,84,6
2016-04-01,87,6
2016-05-01,100,11
2016-06-01,92,10
2016-07-01,63,10
2016-08-01,79,13
2016-09-01,99,15
2016-10-01,65,5
2016-11-01,76,13
2016-12-01,84,18
2017-01-01,82,9
