date,encrypt text messages,best private messaging app
2011-01-01,30,0
2011-02-01,21,0
2011-03-01,28,0
2011-04-01,40,0
2011-05-01,19,0
2011-06-01,52,0
2011-07-01,39,19
2011-08-01,27,0
2011-09-01,54,18
2011-10-01,45,0
2011-11-01,62,0
2011-12-01,62,0
2012-01-01,46,0
2012-02-01,43,16
2012-03-01,20,0
2012-04-01,32,16
2012-05-01,34,15
2012-06-01,41,0
2012-07-01,95,0
2012-08-01,35,0
2012-09-01,49,15
2012-10-01,40,20
2012-11-01,36,14
2012-12-01,36,14
2013-01-01,37,37
2013-02-01,50,14
2013-03-01,52,24
2013-04-01,45,12
2013-05-01,55,12
2013-06-01,53,24
2013-07-01,48,18
2013-08-01,48,12
2013-09-01,35,18
2013-10-01,30,17
2013-11-01,49,11
2013-12-01,34,11
2014-01-01,46,11
2014-02-01,62,12
2014-03-01,26,21
2014-04-01,82,21
2014-05-01,62,16
2014-06-01,40,24
2014-07-01,54,51
2014-08-01,47,43
2014-09-01,68,34
2014-10-01,100,21
2014-11-01,37,33
2014-12-01,40,36
2015-01-01,40,27
2015-02-01,54,22
2015-03-01,53,33
2015-04-01,44,10
2015-05-01,43,30
2015-06-01,57,27
2015-07-01,35,27
2015-08-01,26,43
2015-09-01,48,23
2015-10-01,46,40
2015-11-01,63,28
2015-12-01,44,25
2016-01-01,79,39
2016-02-01,42,27
2016-03-01,59,36
2016-04-01,46,22
2016-05-01,73,59
2016-06-01,38,29
2016-07-01,61,35
2016-08-01,48,54
2016-09-01,63,26
2016-10-01,73,16
2016-11-01,65,35
2016-12-01,65,32
2017-01-01,77,36
