date,is whatsapp encrypted,whatsapp security settings
2011-01-01,0,0
2011-02-01,4,0
2011-03-01,4,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,4,0
2011-07-01,0,0
2011-08-01,7,4
2011-09-01,0,0
2011-10-01,3,0
2011-11-01,3,0
2011-12-01,3,0
2012-01-01,0,0
2012-02-01,3,3
2012-03-01,3,3
2012-04-01,6,6
2012-05-01,3,6
2012-06-01,3,3
2012-07-01,9,0
2012-08-01,4,0
2012-09-01,6,3
2012-10-01,4,3
2012-11-01,4,0
2012-12-01,4,3
2013-01-01,6,5
2013-02-01,5,3
2013-03-01,4,4
2013-04-01,7,5
2013-05-01,4,2
2013-06-01,6,4
2013-07-01,6,2
2013-08-01,4,2
2013-09-01,5,6
2013-10-01,9,4
2013-11-01,5,0
2013-12-01,7,3
2014-01-01,4,5
2014-02-01,9,5
2014-03-01,7,8
2014-04-01,7,5
2014-05-01,4,6
2014-06-01,4,8
2014-07-01,3,8
2014-08-01,7,5
2014-09-01,7,6
2014-10-01,4,7
2014-11-01,6,5
2014-12-01,8,5
2015-01-01,11,3
2015-02-01,11,5
2015-03-01,8,12
2015-04-01,8,10
2015-05-01,10,2
2015-06-01,6,5
2015-07-01,14,7
2015-08-01,13,5
2015-09-01,13,6
2015-10-01,18,3
2015-11-01,23,7
2015-12-01,16,6
2016-01-01,17,7
2016-02-01,17,8
2016-03-01,26,6
2016-04-01,100,27
2016-05-01,36,6
2016-06-01,27,8
2016-07-01,28,11
2016-08-01,22,8
2016-09-01,32,24
2016-10-01,25,10
2016-11-01,36,7
2016-12-01,21,8
2017-01-01,28,8
