date,delete hangout history
2011-01-01,0
2011-02-01,0
2011-03-01,12
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,0
2011-08-01,0
2011-09-01,0
2011-10-01,0
2011-11-01,0
2011-12-01,0
2012-01-01,0
2012-02-01,0
2012-03-01,0
2012-04-01,0
2012-05-01,0
2012-06-01,10
2012-07-01,9
2012-08-01,9
2012-09-01,9
2012-10-01,9
2012-11-01,9
2012-12-01,9
2013-01-01,8
2013-02-01,9
2013-03-01,20
2013-04-01,8
2013-05-01,18
2013-06-01,62
2013-07-01,69
2013-08-01,60
2013-09-01,47
2013-10-01,53
2013-11-01,62
2013-12-01,100
2014-01-01,63
2014-02-01,56
2014-03-01,68
2014-04-01,50
2014-05-01,62
2014-06-01,74
2014-07-01,87
2014-08-01,62
2014-09-01,99
2014-10-01,87
2014-11-01,79
2014-12-01,78
2015-01-01,75
2015-02-01,72
2015-03-01,76
2015-04-01,89
2015-05-01,76
2015-06-01,63
2015-07-01,96
2015-08-01,76
2015-09-01,70
2015-10-01,30
2015-11-01,35
2015-12-01,50
2016-01-01,65
2016-02-01,47
2016-03-01,62
2016-04-01,46
2016-05-01,37
2016-06-01,32
2016-07-01,31
2016-08-01,41
2016-09-01,32
2016-10-01,23
2016-11-01,46
2016-12-01,32
2017-01-01,29
