date,how do you know if your phone is being tapped,delete hangout history
2011-01-01,13,0
2011-02-01,14,0
2011-03-01,14,13
2011-04-01,14,13
2011-05-01,19,13
2011-06-01,13,13
2011-07-01,13,13
2011-08-01,12,0
2011-09-01,60,0
2011-10-01,11,0
2011-11-01,11,0
2011-12-01,13,0
2012-01-01,14,0
2012-02-01,16,0
2012-03-01,13,0
2012-04-01,16,0
2012-05-01,25,0
2012-06-01,10,10
2012-07-01,10,10
2012-08-01,45,10
2012-09-01,23,9
2012-10-01,13,9
2012-11-01,23,9
2012-12-01,14,18
2013-01-01,8,16
2013-02-01,12,12
2013-03-01,24,12
2013-04-01,16,8
2013-05-01,16,29
2013-06-01,11,49
2013-07-01,19,72
2013-08-01,20,66
2013-09-01,35,47
2013-10-01,7,67
2013-11-01,8,33
2013-12-01,8,63
2014-01-01,24,85
2014-02-01,26,77
2014-03-01,7,65
2014-04-01,7,72
2014-05-01,15,75
2014-06-01,16,70
2014-07-01,8,89
2014-08-01,21,65
2014-09-01,7,87
2014-10-01,7,88
2014-11-01,15,98
2014-12-01,10,75
2015-01-01,16,79
2015-02-01,11,100
2015-03-01,13,71
2015-04-01,17,95
2015-05-01,13,71
2015-06-01,18,61
2015-07-01,16,67
2015-08-01,11,94
2015-09-01,7,76
2015-10-01,12,39
2015-11-01,19,65
2015-12-01,8,68
2016-01-01,8,79
2016-02-01,6,60
2016-03-01,19,54
2016-04-01,20,52
2016-05-01,8,43
2016-06-01,9,43
2016-07-01,8,39
2016-08-01,23,44
2016-09-01,13,25
2016-10-01,13,34
2016-11-01,7,38
2016-12-01,22,40
2017-01-01,33,41
