date,can skype video calls be recorded,skype privacy policy
2011-01-01,57,52
2011-02-01,36,83
2011-03-01,36,61
2011-04-01,77,79
2011-05-01,36,37
2011-06-01,38,39
2011-07-01,53,76
2011-08-01,69,36
2011-09-01,68,81
2011-10-01,43,33
2011-11-01,32,66
2011-12-01,32,43
2012-01-01,39,40
2012-02-01,41,62
2012-03-01,57,73
2012-04-01,30,72
2012-05-01,28,100
2012-06-01,44,60
2012-07-01,29,68
2012-08-01,57,29
2012-09-01,85,29
2012-10-01,76,52
2012-11-01,39,26
2012-12-01,26,26
2013-01-01,31,64
2013-02-01,43,53
2013-03-01,58,63
2013-04-01,39,48
2013-05-01,68,70
2013-06-01,71,48
2013-07-01,54,63
2013-08-01,34,78
2013-09-01,35,69
2013-10-01,35,22
2013-11-01,29,59
2013-12-01,33,59
2014-01-01,47,62
2014-02-01,33,45
2014-03-01,20,41
2014-04-01,27,35
2014-05-01,73,53
2014-06-01,46,87
2014-07-01,45,30
2014-08-01,38,31
2014-09-01,22,51
2014-10-01,48,63
2014-11-01,63,21
2014-12-01,31,32
2015-01-01,19,26
2015-02-01,42,43
2015-03-01,19,39
2015-04-01,32,30
2015-05-01,38,48
2015-06-01,64,53
2015-07-01,29,39
2015-08-01,19,48
2015-09-01,37,50
2015-10-01,23,36
2015-11-01,36,37
2015-12-01,36,47
2016-01-01,43,18
2016-02-01,43,82
2016-03-01,24,49
2016-04-01,28,45
2016-05-01,16,66
2016-06-01,33,51
2016-07-01,17,34
2016-08-01,17,39
2016-09-01,25,39
2016-10-01,41,53
2016-11-01,24,40
2016-12-01,36,32
2017-01-01,15,30
