date,how to use dxtory
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,10
2011-06-01,10
2011-07-01,10
2011-08-01,19
2011-09-01,14
2011-10-01,34
2011-11-01,13
2011-12-01,8
2012-01-01,16
2012-02-01,12
2012-03-01,31
2012-04-01,40
2012-05-01,48
2012-06-01,54
2012-07-01,53
2012-08-01,56
2012-09-01,30
2012-10-01,34
2012-11-01,34
2012-12-01,79
2013-01-01,94
2013-02-01,89
2013-03-01,76
2013-04-01,65
2013-05-01,100
2013-06-01,72
2013-07-01,76
2013-08-01,48
2013-09-01,69
2013-10-01,62
2013-11-01,55
2013-12-01,58
2014-01-01,86
2014-02-01,59
2014-03-01,47
2014-04-01,49
2014-05-01,60
2014-06-01,55
2014-07-01,54
2014-08-01,68
2014-09-01,46
2014-10-01,54
2014-11-01,50
2014-12-01,38
2015-01-01,64
2015-02-01,86
2015-03-01,38
2015-04-01,41
2015-05-01,53
2015-06-01,51
2015-07-01,58
2015-08-01,55
2015-09-01,47
2015-10-01,63
2015-11-01,43
2015-12-01,44
2016-01-01,55
2016-02-01,59
2016-03-01,38
2016-04-01,44
2016-05-01,28
2016-06-01,18
2016-07-01,38
2016-08-01,26
2016-09-01,30
2016-10-01,25
2016-11-01,21
2016-12-01,15
2017-01-01,18
