date,How to make text messages private
2011-01-01,30
2011-02-01,0
2011-03-01,0
2011-04-01,15
2011-05-01,14
2011-06-01,15
2011-07-01,29
2011-08-01,14
2011-09-01,26
2011-10-01,12
2011-11-01,50
2011-12-01,62
2012-01-01,62
2012-02-01,65
2012-03-01,50
2012-04-01,70
2012-05-01,60
2012-06-01,28
2012-07-01,50
2012-08-01,83
2012-09-01,55
2012-10-01,30
2012-11-01,50
2012-12-01,100
2013-01-01,59
2013-02-01,65
2013-03-01,71
2013-04-01,27
2013-05-01,40
2013-06-01,68
2013-07-01,84
2013-08-01,88
2013-09-01,87
2013-10-01,33
2013-11-01,75
2013-12-01,84
2014-01-01,63
2014-02-01,43
2014-03-01,38
2014-04-01,56
2014-05-01,57
2014-06-01,67
2014-07-01,83
2014-08-01,74
2014-09-01,41
2014-10-01,55
2014-11-01,45
2014-12-01,48
2015-01-01,60
2015-02-01,53
2015-03-01,52
2015-04-01,53
2015-05-01,37
2015-06-01,45
2015-07-01,44
2015-08-01,36
2015-09-01,64
2015-10-01,74
2015-11-01,70
2015-12-01,67
2016-01-01,67
2016-02-01,56
2016-03-01,72
2016-04-01,68
2016-05-01,41
2016-06-01,45
2016-07-01,58
2016-08-01,60
2016-09-01,63
2016-10-01,42
2016-11-01,61
2016-12-01,85
2017-01-01,88
