date,whatsapp privacy settings,how to encrypt whatsapp messages
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,3,0
2011-09-01,0,0
2011-10-01,0,0
2011-11-01,0,0
2011-12-01,0,0
2012-01-01,0,0
2012-02-01,0,0
2012-03-01,0,0
2012-04-01,5,0
2012-05-01,5,0
2012-06-01,2,0
2012-07-01,2,3
2012-08-01,5,2
2012-09-01,26,2
2012-10-01,25,0
2012-11-01,27,0
2012-12-01,13,0
2013-01-01,11,0
2013-02-01,13,0
2013-03-01,7,0
2013-04-01,3,0
2013-05-01,7,0
2013-06-01,15,2
2013-07-01,15,2
2013-08-01,12,2
2013-09-01,14,2
2013-10-01,11,2
2013-11-01,7,2
2013-12-01,10,2
2014-01-01,9,2
2014-02-01,38,2
2014-03-01,100,2
2014-04-01,50,3
2014-05-01,39,4
2014-06-01,38,4
2014-07-01,29,4
2014-08-01,34,4
2014-09-01,19,3
2014-10-01,17,2
2014-11-01,24,2
2014-12-01,16,3
2015-01-01,21,2
2015-02-01,22,2
2015-03-01,16,2
2015-04-01,19,2
2015-05-01,12,2
2015-06-01,14,3
2015-07-01,13,2
2015-08-01,11,2
2015-09-01,17,2
2015-10-01,9,3
2015-11-01,19,3
2015-12-01,21,2
2016-01-01,19,2
2016-02-01,14,2
2016-03-01,14,3
2016-04-01,19,49
2016-05-01,17,9
2016-06-01,27,10
2016-07-01,18,4
2016-08-01,44,4
2016-09-01,75,3
2016-10-01,31,4
2016-11-01,16,3
2016-12-01,18,5
2017-01-01,16,8
