date,whatsapp security lock,how to encrypt whatsapp messages
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,0
2011-11-01,11,0
2011-12-01,11,0
2012-01-01,5,0
2012-02-01,5,0
2012-03-01,5,0
2012-04-01,5,0
2012-05-01,5,0
2012-06-01,5,0
2012-07-01,5,5
2012-08-01,5,5
2012-09-01,10,5
2012-10-01,4,0
2012-11-01,16,0
2012-12-01,5,0
2013-01-01,4,0
2013-02-01,5,0
2013-03-01,12,0
2013-04-01,8,0
2013-05-01,14,0
2013-06-01,10,4
2013-07-01,26,4
2013-08-01,10,4
2013-09-01,8,4
2013-10-01,9,4
2013-11-01,13,4
2013-12-01,21,4
2014-01-01,18,4
2014-02-01,12,4
2014-03-01,16,4
2014-04-01,24,6
2014-05-01,18,8
2014-06-01,27,8
2014-07-01,20,8
2014-08-01,18,8
2014-09-01,23,6
2014-10-01,33,4
2014-11-01,17,4
2014-12-01,22,6
2015-01-01,33,3
2015-02-01,30,3
2015-03-01,25,3
2015-04-01,17,3
2015-05-01,24,3
2015-06-01,43,5
2015-07-01,27,3
2015-08-01,25,3
2015-09-01,21,3
2015-10-01,26,6
2015-11-01,33,7
2015-12-01,29,5
2016-01-01,21,3
2016-02-01,23,3
2016-03-01,38,6
2016-04-01,31,100
2016-05-01,44,18
2016-06-01,38,21
2016-07-01,31,9
2016-08-01,26,7
2016-09-01,30,6
2016-10-01,15,8
2016-11-01,28,7
2016-12-01,21,10
2017-01-01,34,16
