date,Incognito Mode browser,best anonymous browser
2011-01-01,6,10
2011-02-01,11,9
2011-03-01,23,12
2011-04-01,13,21
2011-05-01,21,21
2011-06-01,16,14
2011-07-01,22,16
2011-08-01,17,11
2011-09-01,11,22
2011-10-01,19,9
2011-11-01,14,9
2011-12-01,26,10
2012-01-01,46,27
2012-02-01,20,18
2012-03-01,23,16
2012-04-01,28,8
2012-05-01,18,18
2012-06-01,30,16
2012-07-01,32,11
2012-08-01,28,12
2012-09-01,21,15
2012-10-01,40,15
2012-11-01,32,31
2012-12-01,28,22
2013-01-01,34,15
2013-02-01,33,17
2013-03-01,33,21
2013-04-01,32,23
2013-05-01,33,16
2013-06-01,57,25
2013-07-01,68,20
2013-08-01,63,22
2013-09-01,60,18
2013-10-01,53,28
2013-11-01,40,26
2013-12-01,60,15
2014-01-01,57,35
2014-02-01,50,29
2014-03-01,62,22
2014-04-01,57,20
2014-05-01,59,25
2014-06-01,38,16
2014-07-01,48,12
2014-08-01,53,22
2014-09-01,47,20
2014-10-01,71,21
2014-11-01,60,35
2014-12-01,68,23
2015-01-01,79,22
2015-02-01,86,17
2015-03-01,89,26
2015-04-01,67,22
2015-05-01,78,13
2015-06-01,93,20
2015-07-01,56,36
2015-08-01,73,44
2015-09-01,72,24
2015-10-01,82,19
2015-11-01,79,34
2015-12-01,100,23
2016-01-01,94,30
2016-02-01,92,30
2016-03-01,94,18
2016-04-01,85,26
2016-05-01,75,30
2016-06-01,70,23
2016-07-01,81,28
2016-08-01,87,31
2016-09-01,81,25
2016-10-01,79,19
2016-11-01,92,20
2016-12-01,91,23
2017-01-01,97,29
