date,anonymox opera,best anonymous browser
2011-01-01,0,18
2011-02-01,0,30
2011-03-01,0,23
2011-04-01,0,32
2011-05-01,0,40
2011-06-01,0,36
2011-07-01,0,27
2011-08-01,0,16
2011-09-01,0,13
2011-10-01,9,27
2011-11-01,9,27
2011-12-01,9,18
2012-01-01,16,36
2012-02-01,13,20
2012-03-01,19,27
2012-04-01,11,11
2012-05-01,10,23
2012-06-01,21,35
2012-07-01,26,21
2012-08-01,20,37
2012-09-01,26,16
2012-10-01,28,43
2012-11-01,21,38
2012-12-01,22,19
2013-01-01,22,37
2013-02-01,31,31
2013-03-01,15,36
2013-04-01,22,39
2013-05-01,38,40
2013-06-01,10,41
2013-07-01,28,30
2013-08-01,44,53
2013-09-01,35,44
2013-10-01,24,43
2013-11-01,28,40
2013-12-01,18,48
2014-01-01,37,56
2014-02-01,39,37
2014-03-01,42,40
2014-04-01,36,25
2014-05-01,50,40
2014-06-01,47,34
2014-07-01,58,31
2014-08-01,56,44
2014-09-01,64,46
2014-10-01,34,40
2014-11-01,76,43
2014-12-01,93,49
2015-01-01,73,45
2015-02-01,77,31
2015-03-01,70,46
2015-04-01,92,40
2015-05-01,65,30
2015-06-01,63,38
2015-07-01,87,51
2015-08-01,94,75
2015-09-01,65,48
2015-10-01,86,52
2015-11-01,85,53
2015-12-01,74,37
2016-01-01,96,51
2016-02-01,100,38
2016-03-01,73,42
2016-04-01,45,51
2016-05-01,73,28
2016-06-01,80,49
2016-07-01,70,44
2016-08-01,76,43
2016-09-01,83,35
2016-10-01,73,33
2016-11-01,75,37
2016-12-01,85,33
2017-01-01,100,49
