date,download tor browser for android,best anonymous browser
2011-01-01,0,23
2011-02-01,0,39
2011-03-01,13,31
2011-04-01,13,43
2011-05-01,13,53
2011-06-01,17,48
2011-07-01,20,36
2011-08-01,13,21
2011-09-01,12,17
2011-10-01,12,35
2011-11-01,12,36
2011-12-01,29,23
2012-01-01,38,47
2012-02-01,30,26
2012-03-01,11,35
2012-04-01,11,15
2012-05-01,10,31
2012-06-01,37,46
2012-07-01,35,28
2012-08-01,31,48
2012-09-01,46,21
2012-10-01,47,56
2012-11-01,50,50
2012-12-01,38,25
2013-01-01,37,49
2013-02-01,44,41
2013-03-01,36,48
2013-04-01,57,52
2013-05-01,53,53
2013-06-01,26,54
2013-07-01,36,39
2013-08-01,36,70
2013-09-01,55,57
2013-10-01,26,57
2013-11-01,26,53
2013-12-01,40,64
2014-01-01,37,74
2014-02-01,51,48
2014-03-01,85,53
2014-04-01,33,33
2014-05-01,71,53
2014-06-01,79,45
2014-07-01,66,41
2014-08-01,77,58
2014-09-01,68,60
2014-10-01,72,52
2014-11-01,64,56
2014-12-01,48,65
2015-01-01,64,59
2015-02-01,48,41
2015-03-01,46,60
2015-04-01,76,52
2015-05-01,63,39
2015-06-01,73,50
2015-07-01,77,68
2015-08-01,85,99
2015-09-01,81,63
2015-10-01,84,69
2015-11-01,90,70
2015-12-01,85,49
2016-01-01,57,67
2016-02-01,96,50
2016-03-01,63,55
2016-04-01,71,67
2016-05-01,47,37
2016-06-01,35,65
2016-07-01,70,58
2016-08-01,86,56
2016-09-01,80,46
2016-10-01,100,43
2016-11-01,76,49
2016-12-01,78,44
2017-01-01,77,65
