date,unblocked proxy sites,best anonymous browser
2011-01-01,37,2
2011-02-01,39,3
2011-03-01,44,2
2011-04-01,37,3
2011-05-01,40,4
2011-06-01,29,4
2011-07-01,31,3
2011-08-01,27,2
2011-09-01,40,1
2011-10-01,28,3
2011-11-01,29,3
2011-12-01,25,2
2012-01-01,35,4
2012-02-01,27,2
2012-03-01,29,3
2012-04-01,28,1
2012-05-01,24,2
2012-06-01,31,4
2012-07-01,29,2
2012-08-01,26,4
2012-09-01,25,2
2012-10-01,40,4
2012-11-01,40,4
2012-12-01,100,2
2013-01-01,34,4
2013-02-01,24,3
2013-03-01,28,4
2013-04-01,42,4
2013-05-01,38,4
2013-06-01,23,4
2013-07-01,15,3
2013-08-01,26,6
2013-09-01,47,5
2013-10-01,28,5
2013-11-01,26,4
2013-12-01,27,5
2014-01-01,36,6
2014-02-01,41,4
2014-03-01,34,4
2014-04-01,32,3
2014-05-01,43,4
2014-06-01,46,4
2014-07-01,27,3
2014-08-01,32,5
2014-09-01,36,5
2014-10-01,41,4
2014-11-01,37,4
2014-12-01,45,5
2015-01-01,30,5
2015-02-01,36,3
2015-03-01,42,5
2015-04-01,50,4
2015-05-01,43,3
2015-06-01,32,4
2015-07-01,28,5
2015-08-01,34,8
2015-09-01,39,5
2015-10-01,37,5
2015-11-01,40,6
2015-12-01,37,4
2016-01-01,47,5
2016-02-01,41,4
2016-03-01,44,4
2016-04-01,45,5
2016-05-01,42,3
2016-06-01,26,5
2016-07-01,31,5
2016-08-01,29,4
2016-09-01,37,4
2016-10-01,42,3
2016-11-01,44,4
2016-12-01,47,3
2017-01-01,38,5
