date,anonymous for chrome
2011-01-01,15
2011-02-01,19
2011-03-01,15
2011-04-01,18
2011-05-01,22
2011-06-01,33
2011-07-01,25
2011-08-01,28
2011-09-01,25
2011-10-01,22
2011-11-01,13
2011-12-01,13
2012-01-01,46
2012-02-01,29
2012-03-01,23
2012-04-01,41
2012-05-01,30
2012-06-01,35
2012-07-01,29
2012-08-01,36
2012-09-01,44
2012-10-01,38
2012-11-01,21
2012-12-01,38
2013-01-01,35
2013-02-01,52
2013-03-01,31
2013-04-01,32
2013-05-01,48
2013-06-01,44
2013-07-01,37
2013-08-01,51
2013-09-01,29
2013-10-01,31
2013-11-01,55
2013-12-01,41
2014-01-01,40
2014-02-01,51
2014-03-01,54
2014-04-01,53
2014-05-01,50
2014-06-01,47
2014-07-01,59
2014-08-01,36
2014-09-01,55
2014-10-01,49
2014-11-01,63
2014-12-01,68
2015-01-01,56
2015-02-01,77
2015-03-01,51
2015-04-01,49
2015-05-01,63
2015-06-01,36
2015-07-01,46
2015-08-01,53
2015-09-01,66
2015-10-01,59
2015-11-01,70
2015-12-01,74
2016-01-01,69
2016-02-01,74
2016-03-01,70
2016-04-01,59
2016-05-01,62
2016-06-01,73
2016-07-01,77
2016-08-01,84
2016-09-01,100
2016-10-01,99
2016-11-01,84
2016-12-01,67
2017-01-01,96
